DUID,Region,Name,Technology,Maximum capacity,Late start
LILYSF1,QLD,Lilyvale Solar Farm,Solar,100.0,False
LIMOSF11,NSW,Limondale Solar Farm 1,Solar,220.0,True
LIMOSF21,NSW,Limondale Solar Farm 2,Solar,29.0,False
LGAPWF1,SA,Lincoln Gap Wind Farm - stage 1,Wind,123.0,False
LGAPWF2,SA,Lincoln Gap Wind Farm - Stage 2,Wind,85.0,True
MACARTH1,VIC,Macarthur Wind Farm,Wind,420.0,False
MANSLR1,NSW,Manildra Solar Farm,Solar,46.0,False
MAPS2PV1,SA,Mannum Adelaide Pumping Station No 2 - MAPL2 (Palmer),Solar,13.0,True
MAPS3PV1,SA,Mannum Adelaide Pumping Station No 3 - MAPL3 (Tungkillo),Solar,12.0,True
MANNSF2,SA,Mannum Solar Farm 2,Solar,29.0,True
MARYRSF1,QLD,Maryrorough Solar Farm,Solar,27.0,True
METZSF1,NSW,Metz Solar Farm,Solar,115.0,True
MIDDLSF1,QLD,Middlemount Solar Farm,Solar,26.0,True
MOKOSF1,VIC,Mokoan Solar Farm (LightsourceBP),Solar,46.0,True
MOLNGSF1,NSW,Molong Solar Farm,Solar,30.0,True
MOORAWF1,VIC,Moorabool Wind Farm,Wind,305.0,True
MOREESF1,NSW,Moree Solar Farm,Solar,56.0,False
MWPS1PV1,SA,Morgan To Whyalla Pipeline No 1 PS And Water Filtration Plant,Solar,4.0,True
MWPS2PV1,SA,Morgan To Whyalla Pipeline No 2 PS,Solar,4.0,True
MWPS3PV1,SA,Morgan To Whyalla Pipeline No 3 PS,Solar,6.0,True
MWPS4PV1,SA,Morgan To Whyalla Pipeline No 4 PS,Solar,4.0,True
MRTLSWF1,VIC,Mortlake South Wind Farm,Wind,153.0,True
MEWF1,QLD,Mount Emerald,Wind,178.0,False
MOUSF1,QLD,Moura Solar Farm,Solar,82.0,True
MTGELWF1,VIC,Mt Gellibrand Wind Farm,Wind,132.0,False
MERCER01,VIC,Mt Mercer Wind Farm,Wind,131.0,False
MTMILLAR,SA,Mt Millar Wind Farm,Wind,70.0,True
MUWAWF1,VIC,Murra Warra Wind Farm - stage 1,Wind,225.0,False
MUWAWF2,VIC,Murra Warra Wind Farm - stage 2,Wind,203.0,True
MBPS2PV1,SA,Murray Bridge - Onkaparinga Pipeline Pump 2,Solar,10.0,True
NEVERSF1,NSW,Nevertire Solar Farm,Solar,105.0,False
NEWENSF1,NSW,New England Solar Farm,Solar,200.0,True
NEWENSF2,NSW,New England Solar Farm,Solar,200.0,True
NUMURSF1,VIC,Numurkah Solar Farm,Solar,100.0,False
NYNGAN1,NSW,Nyngan Solar Plant,Solar,102.0,False
OAKEY2SF,QLD,Oakey 2 Solar Farm,Solar,55.0,False
OAKEY1SF,QLD,Oakey Solar Farm,Solar,25.0,False
OAKLAND1,VIC,Oaklands Hill Wind Farm,Wind,63.0,False
PARSF1,NSW,Parkes Solar Farm,Solar,50.0,False
PAREPS1,SA,Port Augusta Renewable Energy Park - Solar,Solar,77.0,True
PAREPW1,SA,Port Augusta Renewable Energy Park - Wind,Wind,201.0,True
RRSF1,QLD,Ross River Solar Farm,Solar,116.0,False
RUGBYR1,QLD,Rugby Run Solar Farm,Solar,65.0,False
RYANCWF1,VIC,Ryan Corner Wind Farm,Wind,205.0,True
RYEPARK1,NSW,Rye Park Wind Farm,Wind,384.0,True
SALTCRK1,VIC,Salt Creek Wind Farm,Wind,54.0,False
SAPHWF1,NSW,Sapphire Wind Farm,Wind,270.0,False
SEBSF1,NSW,Sebastopol Solar Farm,Solar,90.0,True
STWF1,NSW,Silverton Wind Farm,Wind,198.0,False
SNOWNTH1,SA,Snowtown S2 Wind Farm,Wind,144.0,False
SNOWSTH1,SA,Snowtown S2 Wind Farm,Wind,126.0,False
SNOWTWN1,SA,Snowtown Wind Farm,Wind,99.0,False
STARHLWF,SA,Starfish Hill,Wind,35.0,True
STOCKYD1,VIC,Stockyard Hill Wind Farm,Wind,511.0,True
STUBSF1,NSW,Stubbo Solar Farm,Solar,202.0,True
STUBSF2,NSW,Stubbo Solar Farm,Solar,198.0,True
SMCSF1,QLD,Sun Metals Corporation Solar Farm,Solar,121.0,False
SUNRSF1,NSW,Sunraysia Solar Farm,Solar,200.0,True
SUNTPSF1,NSW,Suntop Solar Farm,Solar,150.0,True
SRSF1,QLD,Susan River Solar Farm,Solar,75.0,False
TBSF1,SA,Tailem Bend - Solar,Solar,95.0,False
TB2SF1,SA,Tailem Bend Stage 2 Solar Project,Solar,87.0,True
TARALGA1,NSW,Taralga Wind Farm,Wind,106.0,False
WAGGNSF1,NSW,Wagga North Solar Farm,Solar,48.0,True
WANDSF1,QLD,Wandoan South Solar Stage 1,Solar,125.0,True
WARWSF1,QLD,Warwick Solar Farm,Solar,32.0,True
WARWSF2,QLD,Warwick Solar Farm,Solar,32.0,True
WATERLWF,SA,Waterloo Wind Farm,Wind,130.0,False
WPWF,SA,Wattle Point,Wind,91.0,True
WELNSF1,NSW,Wellington North Solar Farm (Lightsource),Solar,330.0,True
WELLSF1,NSW,Wellington Solar Farm,Solar,170.0,True
WEMENSF1,VIC,Wemen Solar Farm,Solar,88.0,False
WSTWYSF1,NSW,West Wyalong Solar Farm,Solar,90.0,True
WDGPH1,QLD,Western Downs Green Power Hub P/L,Solar,400.0,True
WRSF1,NSW,White Rock Solar Farm,Solar,20.0,False
WRWF1,NSW,White Rock Wind Farm - Stage 1,Wind,172.0,False
