Quarter,CLRKCWF1,COOPGWF1,DULAWF1,KABANWF1,KEPWF1,MEWF1
2020-03-31,,0.32339089481946626,,,,0.4928432911626189
2020-06-30,,0.16760550373995753,,,,0.1739772832209807
2020-09-30,,0.13783339422725613,,,,0.4714103032517355
2020-12-31,,0.06841432225063938,,,,0.4368834490317866
2021-03-31,,0.12987861811391224,,,,0.40980392156862744
2021-06-30,,0.1918921414719734,,,,0.2606888909409918
2021-09-30,,0.10284983558640848,,,0.5133357690902448,0.12943003288271832
2021-12-31,,0.1170076726342711,,,0.30124223602484473,0.4050968213372305
2022-03-31,,0.11587301587301588,,,0.29897292250233426,0.43482726423902895
2022-06-30,,0.1933696555545295,,,0.18127250900360145,0.17637824360513435
2022-09-30,,0.15052977712824261,,,0.07855316039459262,0.1920898794300329
2022-12-31,,0.13491048593350383,,0.8962367555717939,0.12970405553525757,0.37760321519912315
2023-03-31,,0.09505135387488328,,0.4894491129785247,0.17413632119514472,0.3989729225023343
2023-06-30,,0.13232985501893066,,0.28894634776987715,0.06972019577061594,0.23787976729153198
2023-09-30,,0.12194008037997808,0.09106686152721959,0.06841432225063938,0.07289002557544758,0.10020094994519547
2023-12-31,,0.1773839970770917,0.09261965655827549,0.20122396784800878,0.22597734746072343,0.2816039459261966
2024-03-31,,0.07821590174531351,0.09391448887247207,0.33456459506879677,0.2005725367069905,0.42192261519992613
2024-06-30,,0.1807184412226429,0.17961030566072583,0.1568935266414258,0.13556191707452211,0.1667744020685197
2024-09-30,,0.18542199488491048,0.11362805991962002,0.17692729265619292,0.08385093167701864,0.1896236755571794
2024-12-31,,0.07316404822798685,0.09965290464011692,0.2536536353671904,0.1529959810010961,0.32910120569967116
