Year,0–3%,3–5%,5–7%,7–10%,10% or more
2020,543.0,17.0,11.0,24.0,42.0
2021,1068.0,33.0,14.0,23.0,57.0
2022,1309.0,32.0,22.0,22.0,51.0
2023,2243.0,58.0,43.0,46.0,68.0
2024,3224.0,71.0,49.0,53.0,83.0
2025,3810.0,49.0,31.0,54.0,75.0
2026,2956.0,37.0,23.0,19.0,23.0
2027,1989.0,17.0,14.0,10.0,6.0
2028,993.0,6.0,2.0,6.0,9.0
2029,124.0,0.0,0.0,0.0,0.0
