Interval,DWA price
2020-01-31,128.29695795975297
2020-02-29,74.2579849520078
2020-03-31,46.62632951724008
2020-04-30,37.23676016126017
2020-05-31,40.98530954468489
2020-06-30,56.0752143977464
2020-07-31,63.47363220072306
2020-08-31,51.21817856675498
2020-09-30,22.68216159428201
2020-10-31,39.207877731198295
2020-11-30,43.75523664299047
2020-12-31,24.85103090200862
2021-01-31,42.472993183378485
2021-02-28,32.19328493069375
2021-03-31,90.98649982083592
2021-04-30,59.47122992233604
2021-05-31,87.00317753480111
2021-06-30,90.06148488263486
2021-07-31,103.0389377420715
2021-08-31,55.46834208371323
2021-09-30,31.549396957957892
2021-10-31,29.424922353513892
2021-11-30,49.69987670097147
2021-12-31,110.03598394355501
2022-01-31,113.6353231395978
2022-02-28,64.25669805737782
2022-03-31,81.05933634207851
2022-04-30,166.65658734422195
2022-05-31,338.10071767241266
2022-06-30,321.3230512238763
2022-07-31,399.7517902478705
2022-08-31,189.59509888417693
2022-09-30,167.3996660352665
2022-10-31,113.69461247291858
2022-11-30,75.57272260612471
2022-12-31,55.66816209598658
2023-01-31,76.19449646491111
2023-02-28,148.16297752834188
2023-03-31,78.57093783985104
2023-04-30,98.95856345705528
2023-05-31,209.53469223058212
2023-06-30,96.1928965594325
2023-07-31,83.16184204261803
2023-08-31,193.8069802187581
2023-09-30,63.88212610211307
2023-10-31,30.465608495162403
2023-11-30,71.2643910208233
2023-12-31,65.09764670447423
2024-01-31,54.51249574017647
2024-02-29,110.81414143538858
2024-03-31,92.4185391795416
2024-04-30,106.98393822186745
2024-05-31,147.2536864684266
2024-06-30,185.50921470633133
2024-07-31,282.28177924683956
2024-08-31,191.073586830797
2024-09-30,113.04954317632972
2024-10-31,64.62937161886984
2024-11-30,86.57846626292181
2024-12-31,97.55874974838999
