Quarter,Solar,Wind
2020-03-31,85.92552346554487,443.1352275141178
2020-06-30,62.84022810172467,499.22204928304336
2020-09-30,75.51099128830766,640.9840929891304
2020-12-31,141.55296797214675,676.5754536531929
2021-03-31,192.24479377797067,642.2025651674383
2021-06-30,124.29507431356838,711.8547798815247
2021-09-30,131.13899193048007,967.4346565441954
2021-12-31,225.08385999792424,809.8291701571936
2022-03-31,225.9415304675926,825.2195673310185
2022-06-30,117.46459123950703,926.5847251648352
2022-09-30,147.30107673177082,1128.1563187215052
2022-12-31,194.7194772388285,935.2722527698521
2023-03-31,237.34595262326388,919.0600092606096
2023-06-30,136.35922155009922,1200.077003733211
2023-09-30,139.6807949513134,1228.8767848952673
2023-12-31,197.39101875811443,1069.5456604919611
2024-03-31,258.3091164707341,915.8421020690248
2024-06-30,154.32825179315478,820.6822504267782
2024-09-30,140.95810567840428,1395.020862605865
2024-12-31,252.93011674252716,1035.6179167106354
