Quarter,LWA price
2020-03-31,108.38604532431987
2020-06-30,45.62952348296448
2020-09-30,48.804081760910655
2020-12-31,71.25912857294986
2021-03-31,38.687389307833655
2021-06-30,130.61203775375094
2021-09-30,88.67702921698039
2021-12-31,65.92170254314283
2022-03-31,89.13826901005625
2022-06-30,322.76873141238286
2022-09-30,242.70971335874097
2022-12-31,122.75443765385394
2023-03-31,107.74058968201791
2023-06-30,149.69163288557598
2023-09-30,90.51709837567384
2023-12-31,73.36582947457842
2024-03-31,102.51368867678212
2024-06-30,191.21031759090906
2024-09-30,145.27101012300736
2024-12-31,173.1276513467475
