Quarter,AVLSF1,BERYLSF1,BOMENSF1,BROKENH1,COLEASF1,CRWASF1,DARLSF1,FINLYSF1,GNNDHSF1,GOONSF1,GULLRSF1,HILLSTN1,JEMALNG1,JUNEESF1,LIMOSF11,LIMOSF21,MANSLR1,METZSF1,MOLNGSF1,MOREESF1,NEVERSF1,NEWENSF1,NEWENSF2,NYNGAN1,PARSF1,SEBSF1,STUBSF1,STUBSF2,SUNRSF1,SUNTPSF1,WAGGNSF1,WELLSF1,WELNSF1,WRSF1,WSTWYSF1,WYASF1
2020-03-31,0.0,0.0007058699334367979,0.0530380207029324,0.39979053592717295,0.14457034804414282,0.0,0.0,0.02495659171607223,0.0,0.0,0.011901584029717749,0.0,0.0,0.0,0.0,0.015061507841835908,0.006591975866378608,0.0,0.0,0.0,0.0024742315159770323,0.0,0.0,0.00020541827641251675,0.0034058710292244054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022619367252907363,0.0,0.0
2020-06-30,0.0,0.002173245604447316,0.0,0.1099052841590269,0.018840255957826457,0.0,0.0,0.05068296249898585,0.0,0.006253939611361892,0.0380553027292031,0.0,0.0,0.0,0.0,0.006322563609582388,0.007815627638828149,0.0,0.0,0.0,0.027432094976635346,0.0,0.0,0.0023580963345076755,0.00221633050035952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01713163756384073,0.0,0.0
2020-09-30,0.0,0.0032498739015234257,0.007963937558228218,0.08020206850830569,0.0,0.0,0.34045138656736473,0.0023701973228426043,0.0,0.002666658915771558,0.041621606690777524,0.0,0.0,0.0,0.0,0.0,0.017746669161863293,0.0,0.0,0.0,0.01721084497175107,0.0,0.0,0.0014694365463274739,0.000696498388075395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00848071536842876,0.0,0.0
2020-12-31,0.0,0.013835016509075704,0.02122046992232718,0.05408690100613067,0.030572004728597557,0.0,0.06431895679099964,0.07294864869410023,0.0,0.002130362036079414,0.06949425866274062,0.0,0.0,0.0,0.05783018385410876,0.05171717148505328,0.05636273313722584,0.0,0.02687870182678964,0.0,0.006771947850078064,0.0,0.0,0.0026052825244240463,0.0024173879958547806,0.0,0.0,0.0,0.0159077845199318,0.0,0.0,0.00028681704134092545,0.0,0.0038205846310050973,0.0,0.0
2021-03-31,0.0,0.16345488749130266,0.0026999931464787297,0.014563997723462396,0.01232242058414823,0.0,0.11939326912401871,0.009652354990376866,0.0,0.024175515118201707,0.015705593456765365,0.0,0.42112162898312955,0.0,0.09824600329810151,0.1511832174214326,0.34026648337564236,0.0,0.06473909029157343,0.0,0.009760536706255318,0.0,0.0,0.013675951653908114,0.020250111489383937,0.0,0.0,0.0,0.0970075081652424,0.0,0.0,0.026427401605519596,0.0,0.0,0.0,0.0
2021-06-30,0.0,0.0,0.0,0.08716661641778012,0.05196691345609683,0.09233698987382499,0.07356643385527473,0.03206948648859198,0.4937647308544574,0.0,0.0,0.0,0.08378066485963342,0.0,0.060468091674443225,0.09603233803553757,0.05814656029624554,0.0,0.0682249827464585,0.0,0.003988242635301509,0.0,0.0,0.002226982101028896,0.0,0.0,0.0,0.0,0.053456286821776944,0.0,0.0,0.011158371711898263,0.0,0.022543254290209314,0.0,0.0
2021-09-30,0.0,0.012959266918830759,0.0,0.13389735541586745,0.16889460965777003,0.28632207703807366,0.3317928059217542,0.0934064128640989,0.00812510425671864,0.011451769787175992,0.024547774746333628,0.0,0.02348785839334866,0.0,0.2825160932140929,0.24880061479889448,0.19093566538328677,0.0,0.325273292213904,0.0,0.01681583239960316,0.0,0.0,0.015184240469865107,0.037527349005625155,0.0,0.0,0.0,0.18664765220142387,0.48239231395196613,0.0,0.008459989792415468,0.0,0.07579749212934861,0.0,0.0
2021-12-31,0.0,0.07259570086181744,0.0,0.15178701659337512,0.0772198417892066,0.14346923255334076,0.22080122759610799,0.008868923064429435,0.06830333227850238,0.1474150283850001,0.08466806718831199,0.02506445815779179,0.0605661682812606,0.17004600628693356,0.3562717501188737,0.35822667254020457,0.48135097379174385,0.0,0.5501393846899392,0.0,0.036865077480388364,0.0,0.0,0.027617973280926633,0.1584505990442221,0.04460961169666222,0.0,0.0,0.2205447452867877,0.04528452514888215,0.0,0.019378003525153176,0.0,0.015860151594492167,0.0,0.0
2022-03-31,0.0,0.04099157797336028,0.0,0.030317538050579906,0.030118874897496428,0.22729189603609856,0.01726271646951194,0.0,0.09691444877722599,0.2027292616986257,0.02282104823186537,0.024964479893766933,0.03715917174258232,0.0,0.16064413989107296,0.1298966166847686,0.594072772342014,0.2913251410553991,0.6201083760142854,0.008665661676370728,0.02307847382634176,0.0,0.0,0.04496344508347916,0.19932336408624673,0.03347874402113615,0.0,0.0,0.16142078702980844,0.09561116505107892,0.007428763739275479,0.026518580755737098,0.0,0.03132739515998151,0.0,0.0
2022-06-30,0.0,0.015019993438752599,0.0,0.02041917403365312,0.01388236144640187,0.008076576005653369,0.013356999368952405,0.0,0.033596838344158386,0.06428738500316933,0.008141184288887882,0.026012214140373913,0.037957799112727675,0.0,0.11610252943277066,0.12625852451376152,0.3717845686907474,0.06404913731271067,0.3527430803664495,0.003402511791934848,0.012158242591722379,0.0,0.0,0.018125820573595686,0.07196727786358115,0.008336385330013352,0.0,0.0,0.13077477674174454,0.07290026178471432,0.0,0.02649861883550375,0.0,0.037633209708227366,0.0,0.0
