Year,0–3%,3–5%,5–7%,7–10%,10% or more
2020,548.0,71.0,14.0,3.0,1.0
2021,1496.0,110.0,30.0,16.0,9.0
2022,2361.0,209.0,49.0,38.0,27.0
2023,3177.0,310.0,118.0,69.0,32.0
2024,3729.0,312.0,99.0,52.0,22.0
2025,3711.0,195.0,67.0,32.0,14.0
2026,2953.0,74.0,21.0,5.0,5.0
2027,1995.0,22.0,11.0,5.0,3.0
2028,994.0,12.0,4.0,3.0,3.0
2029,124.0,0.0,0.0,0.0,0.0
