Technology,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind
DUID,BANN1,COHUNSF1,GANNSF1,GIRGSF,GLENSF1,GLRWNSF1,KARSF1,KIAMSF1,MOKOSF1,NUMURSF1,WEMENSF1,WINTSF1,WUNUSF1,YATSF1,ARWF1,BALDHWF1,BRYB1WF1,BRYB2WF2,BULGANA1,CHYTWF1,CROWLWF1,DUNDWF1,DUNDWF2,DUNDWF3,ELAINWF1,GPWFEST1,GPWFEST2,GPWFEST3,HD1WF1,KIATAWF1,MACARTH1,MERCER01,MOORAWF1,MRTLSWF1,MTGELWF1,MUWAWF1,MUWAWF2,OAKLAND1,RYANCWF1,SALTCRK1,STOCKYD1,YENDWF1
Quarter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-31,69.62515026562104,,89.832106491895,,,,76.20140223467808,,,100.93562565836837,80.59201528649673,,,,66.72180503593233,55.39496907093533,,,,,70.91342275003112,,44.589089729729736,41.513224680183335,,,,,,71.30506244432082,47.97798163912993,87.57096767299936,,,66.98740078200682,52.75777249041167,,71.27130665575007,,72.78727684639122,,77.57562825142291
2020-06-30,33.929413035677754,,34.359503014499246,,,,35.00937465643768,,,34.61429479786176,34.52712484891354,,,,30.207097139172102,31.647592526446175,,,35.22920190986618,36.136870299908814,31.225860372796166,36.38923479702271,33.8729666680626,26.463497647943203,36.72475356002167,,,,,32.27276521525331,27.4958872263144,28.937366504172914,,,30.788386447455608,32.74372733739435,,29.095987747929456,,29.62463256324621,,30.231992897694024
2020-09-30,39.42470479209941,,40.87185423348336,,,,39.90364093869315,32.161717766463845,,41.04472825129424,42.47657709383515,,,,40.56219540851282,44.79742658292366,,,37.88141949154723,44.96216456447726,41.09688943522665,40.30319813029993,35.685817437427815,43.97341158402884,40.69637301285944,,,,,43.355737868065226,46.82299679046502,39.283517042242984,,,42.859473470300024,43.407593716697974,,39.46419363156569,,40.77971330973859,,40.6909400345968
2020-12-31,26.52502148885407,22.783616524064172,27.660208794608955,,,19.9777571414987,26.370441136228962,22.42649413578774,,32.43864640497046,32.61533874059309,,,16.165161804087436,28.940593883469937,32.54310096823293,,,32.986888995067105,33.97712902126146,29.44169499772012,29.02791499683552,30.885572528642243,26.756917221535637,30.035540085683387,,,,,34.84507109239355,25.090347320830485,25.925079614104643,20.472710841100426,,33.09177836153572,36.86545725979709,,24.24637927195127,,29.183506790908428,,28.11527795875742
2021-03-31,14.18856236191165,25.098162139282024,15.289921087953715,,,19.735702207413716,14.959731226497263,14.50441644479421,,19.17316194921904,19.9509191418742,25.790287068957877,,16.6560398756444,20.95764339832764,23.667800903270503,29.93873516296843,,21.882840479928063,22.518914793043784,21.746909684309795,20.333506657165024,22.569417634577437,20.22932549142894,23.073542557820357,,,,,27.64077853916579,19.199773641532484,19.869404464056597,25.23006315611886,,22.92055068247864,26.232002616555313,,19.938678850900956,,23.508025912991503,,20.892528770926553
2021-06-30,39.623970912624415,55.74955811510176,41.09894525764472,,,42.0926300937158,41.18469763538082,36.34406876663613,,41.94283134988325,45.81111364858207,52.52266057861136,,43.068222570412324,46.48123837805111,57.63006555107322,48.95394913748964,,50.17341377157211,53.70374805764411,47.520879682243496,47.76151413155472,45.927936737437044,46.36769617207134,45.73758776173802,,,,,55.83580800148386,39.64711365555367,41.84761678525726,51.75885855133347,,50.69360425159301,54.15185765480365,,45.34698908906078,,50.10783395238636,,48.735127415409416
2021-09-30,12.676305393891369,14.952017464192936,7.711518751680093,,,24.84462209063408,20.22374002024835,13.403864239608701,,33.93565450207474,31.38768760746925,22.84618446671791,,22.383525138832162,30.92184832751256,35.711789530451426,33.97828250698313,,29.037671875624245,41.2110329358205,33.49244989662063,35.497767945693745,34.995886723010045,33.94001299582786,44.57553939734091,,,,,38.145649590171026,29.847348766019575,29.640376951250005,41.751429436771765,,41.49303363301027,52.44762001257538,,31.129648560549622,,40.85655398354271,23.223369432872317,34.12699865348253
2021-12-31,-1.4043763431719538,-2.363850535776387,2.973375658965991,,,11.717021768617508,4.402122934036641,3.5739192292533755,,20.630641817457736,20.522203962586243,13.38348744692379,,4.969240704043933,17.494529940289212,18.198088777947575,15.214483332823836,,25.17772211665015,27.87854148558207,18.440772410700472,14.369578207913754,16.257035618890264,13.785432241532988,27.58201055618819,,,,,25.225112999131458,12.717986142017574,11.445245999800287,19.88417557996477,,23.950483634759834,38.12853420289906,,15.008717100939238,,24.40052840784712,21.629526228240703,19.864288398396692
