Interval,DWA price
2020-03-31,47.448874530419985
2020-06-30,28.457499926736734
2020-09-30,27.623649095465098
2020-12-31,19.99988364194151
2021-03-31,23.107229841711074
2021-06-30,49.932926720310576
2021-09-30,34.88125493625639
2021-12-31,24.388999400252807
2022-03-31,50.08588636584583
2022-06-30,206.40776378499143
2022-09-30,146.85454134751026
2022-12-31,47.56526756953448
2023-03-31,55.26530823631727
2023-06-30,65.36624289105991
2023-09-30,42.0705627521978
2023-12-31,33.34523750419704
2024-03-31,50.05692008370741
2024-06-30,103.02897700423875
2024-09-30,62.8982071248214
2024-12-31,49.40907854615876
