Quarter,DWA price
2020-03-31,49.69573006828757
2020-06-30,33.53064595538014
2020-09-30,32.18091680873452
2020-12-31,43.38443085349139
2021-03-31,40.11606859916464
2021-06-30,85.75823104156757
2021-09-30,80.67754835713733
2021-12-31,87.67356304486304
2022-03-31,106.85753899941851
2022-06-30,317.9919290433654
2022-09-30,216.00034086864682
2022-12-31,126.41279639267255
2023-03-31,96.44175920994367
2023-06-30,116.42797366847184
2023-09-30,68.53466840008501
2023-12-31,69.44120479982944
2024-03-31,100.86108432165004
2024-06-30,98.62555774216945
2024-09-30,105.0981534123844
2024-12-31,128.56059508529714
