Technology,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind
DUID,AVLSF1,BERYLSF1,BOMENSF1,BROKENH1,COLEASF1,CRWASF1,DARLSF1,FINLYSF1,GNNDHSF1,GOONSF1,GULLRSF1,HILLSTN1,JEMALNG1,JUNEESF1,LIMOSF11,LIMOSF21,MANSLR1,METZSF1,MOLNGSF1,MOREESF1,NEVERSF1,NEWENSF1,NEWENSF2,NYNGAN1,PARSF1,SEBSF1,STUBSF1,STUBSF2,SUNRSF1,SUNTPSF1,WAGGNSF1,WELLSF1,WELNSF1,WRSF1,WSTWYSF1,WYASF1,BANGOWF1,BANGOWF2,BOCORWF1,BODWF1,COLWF01,CROOKWF2,CROOKWF3,CRURWF1,FLYCRKWF,GULLRWF1,GULLRWF2,GUNNING1,RYEPARK1,SAPHWF1,STWF1,TARALGA1,WOODLWN1,WRWF1
Quarter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-31,,111.69534923281269,43.01709338082725,85.64979315132749,102.45085663610428,,,86.71083317491504,,,87.21403165775332,,,,,83.04973742972281,126.754996109663,,,132.0326920240683,131.51454024114565,,,100.81300225304469,115.76696974859756,,,,,,,,,88.87928776933262,,,,,100.90797056000284,56.63104213027961,,80.88712589666568,,,,73.44843737654071,,62.29889687662045,,54.8951474957156,64.88169453737821,85.02162770248874,81.83342848057764,57.93974681167717
2020-06-30,,35.62953081050061,41.02177102412195,37.38778796343678,34.879330788876864,,,36.26565120171144,,40.33673218530058,35.822530047380106,,,,,36.48898624240894,36.080402951305445,,,37.26581549723413,39.03063381088823,,,36.30870775596424,37.04102595996081,,,,,,,,,37.02388780370915,,,,,38.86860446859196,40.52466673276117,,38.28306826400464,,,,38.26054230775412,37.955915047825606,38.11434947736177,,41.34579519323416,39.395085338034626,38.22684462138028,37.53497377853877,42.74929571058203
2020-09-30,,36.582898715050554,36.52327761296473,37.446679983179735,35.980244468290756,,34.712494138356135,35.619697181806785,,36.333406747001156,37.54806793327242,,,,37.69527391250758,40.395122637834675,36.950196582207404,,,38.17630193431996,36.941753196478395,,,36.45440713152117,37.32023382892642,,,,,,,,,37.92202600633436,,,,,41.6959870874678,44.08322802486514,,41.712277399180074,,,,43.73755347058375,40.80005786841989,42.526918279442,,44.14335874395608,43.0959437046322,42.75154449141514,43.184060449712916,44.11113982852663
2020-12-31,,63.77607943709302,56.00211330673627,74.97985413726313,68.53930555714051,,76.61681911924404,75.0522330455127,,54.179399502675935,49.8667055774525,,,,89.26988622064223,77.19101136881075,60.738994318999985,,62.33136519502992,73.18539679060473,71.33278403545921,,,67.87898798339496,64.26188844901769,,,,53.659809720906054,,,91.00770925923834,,73.3561507300871,,,,,60.91829175624912,57.14616885379618,40.4422815369463,50.89381769740845,,56.254570422439265,,48.398166866265754,46.912942960848895,52.28625011142292,,50.64488717139703,52.62246962104836,57.82422602765635,62.528779669919075,52.43038677918442
2021-03-31,,34.85068782868362,32.610479664624805,35.07181458220148,34.772715486570945,30.244271668407013,34.464073492043994,34.89943507277197,,33.99015193891684,33.9341797531056,,34.35935799678171,,35.68303550404448,35.49892189537605,36.17139091251951,,34.797041485566176,35.22420420622843,34.51367837028738,,,34.1349118375642,34.9163812618357,,,,35.50074518341794,,,33.40095658740408,,34.38530254411667,,,38.56019358479216,,38.208254426572566,37.282445594227845,38.095182887368104,38.56516243094127,,37.88958323920369,,37.75436954083197,37.58191409885873,37.78405249918881,,37.58504424730958,37.15402508142559,38.78862072431809,39.09441170764064,37.490223843626914
2021-06-30,,49.28056947674801,45.787411678945375,51.29384172602625,46.03210647215906,59.79749571512112,46.826022984941865,46.228045735292916,65.0396272507181,54.02702355779652,45.73799636247611,,59.250834565436875,169.58579220007,51.26700091302654,51.74334513785802,50.1882555715366,,50.633895464493925,51.5045559702471,47.63334046797542,,,49.201611580444755,50.62784290746888,,,,48.79134444866825,,,53.3552602577488,,55.227497220298424,,,159.18700375123822,1353.0590800902028,93.03870745396519,94.27808560959598,87.67536333235775,84.0499396701534,,91.25977063346143,,85.03151546069512,93.1861855822555,86.07735420709876,,98.20985263695266,98.90254428823121,82.4131657512124,96.84886627359973,90.62048151685418
2021-09-30,,40.68154004989496,40.503701974399526,47.388889624865264,41.74207461089757,34.42269126630928,33.28550699148244,37.587967514351384,32.5895423465624,38.92151444839294,38.39222175460556,,41.18051114474931,80.94861548969396,49.86120725277959,53.13089137235397,47.21492164416362,,52.61165035334212,42.721084446839015,41.929650441515314,,,42.02160068176622,37.724515935214924,,,,41.98438000877844,32.75678943558357,19.39443993718773,39.10800634058789,,51.36735463446039,,,59.157257343296045,249.42321468668115,65.30812933004266,76.66848392867314,57.434528137011206,59.2936240280613,,66.2309480562931,,59.674778028152645,61.82835302585439,62.197931596017206,,80.46470776017475,74.16018765439225,60.61256629146565,62.94446960206846,77.99215029985446
2021-12-31,,48.512823051721604,45.51659135346568,44.76033403820253,47.6463754599874,49.05258228500195,47.39200861077975,46.907144459155234,53.70421754460444,47.47977419928424,49.92040915541203,61.73013508621857,50.725627708594835,55.177479159307715,56.65597998410739,56.301413294126604,57.50754992288801,,50.28225397399432,48.916140288425034,48.95404625943609,,,44.817617974803795,48.25977934444054,57.43847903918499,,,51.3306650330555,54.14646555151581,49.99674284842814,44.61446066222788,,46.10571443598352,,,53.14288954255328,67.09829139422546,61.733093369068364,60.52398927717523,55.87549350482251,55.91839088706256,,56.12898820249068,,55.44313325981641,62.933138563146734,57.031256241381676,,60.63829002543246,64.89765010585747,56.494151901838165,59.838941982440495,61.412935271512865
