Year,0–3%,3–5%,5–7%,7–10%,10% or more
2020,570.0,51.0,10.0,4.0,2.0
2021,1544.0,72.0,17.0,21.0,7.0
2022,2507.0,101.0,38.0,22.0,16.0
2023,3245.0,268.0,105.0,58.0,30.0
2024,3774.0,280.0,93.0,51.0,16.0
2025,3783.0,162.0,41.0,27.0,6.0
2026,2978.0,53.0,18.0,3.0,6.0
2027,1998.0,29.0,8.0,1.0,0.0
2028,1007.0,3.0,1.0,1.0,4.0
2029,124.0,0.0,0.0,0.0,0.0
