Quarter,DWA price
2020-03-31,67.21911457451964
2020-06-30,39.716998293344204
2020-09-30,43.27338494567676
2020-12-31,53.14249729564285
2021-03-31,37.72842328431128
2021-06-30,91.77354701827315
2021-09-30,67.59795040020542
2021-12-31,59.51495919931714
2022-03-31,83.23498720901895
2022-06-30,300.3536534206996
2022-09-30,211.4643521646235
2022-12-31,118.65948032402122
2023-03-31,98.16871831219677
2023-06-30,119.95713723380865
2023-09-30,72.79608614121915
2023-12-31,60.87724103953648
2024-03-31,79.97947818394367
2024-06-30,149.35947356679353
2024-09-30,86.45903463869423
2024-12-31,134.9225085809796
