Month,Solar,Wind
2020-01-31,81.75167158938171,579.881990703405
2020-02-29,79.74140779693487,478.40631481561303
2020-03-31,67.5001586189516,568.9411557571685
2020-04-30,46.6921112662037,542.1052542986112
2020-05-31,40.38689945452509,643.5663999025538
2020-06-30,42.05872325810185,624.1507885706018
2020-07-31,54.843772071012545,454.8834957918907
2020-08-31,61.69381116487456,711.364921796595
2020-09-30,82.43898684606482,814.6497297141204
2020-10-31,86.91451217517921,609.1948718010752
2020-11-30,115.85737303819444,651.4785752071759
2020-12-31,111.24941678091398,659.2771371662187
2021-01-31,116.6291213765681,570.5426568044355
2021-02-28,112.35170428323413,583.0935300719245
2021-03-31,94.92122954861111,506.46060931227595
2021-04-30,87.83089029282408,382.02353094907403
2021-05-31,57.744796112231185,560.5305459195788
2021-06-30,46.67069486458333,675.8946878240741
2021-07-31,51.77525641017025,851.8729152520161
2021-08-31,74.73469947356631,618.1277785685484
2021-09-30,96.4542020625,725.7588821759259
2021-10-31,102.32594756944444,647.8807156798836
2021-11-30,97.8397899699074,607.60694428125
2021-12-31,132.655030109767,615.4091598140681
2022-01-31,111.60475715725806,678.894276812276
2022-02-28,117.02029566468254,772.1639513244048
2022-03-31,109.47715537410394,692.4518620463709
2022-04-30,77.21253078703702,656.9339508252315
2022-05-31,63.74882797715054,699.3162217394713
2022-06-30,51.31169693518518,816.0550313912037
2022-07-31,63.162898206765234,828.1934411290322
2022-08-31,72.90641758624552,1002.7641252654571
2022-09-30,93.62296514583333,859.1649972372685
2022-10-31,87.30170842181899,800.006395219534
2022-11-30,123.9392185173611,891.0529891597222
2022-12-31,148.34018254816309,860.846734968638
2023-01-31,146.59854960685482,829.3150335741487
2023-02-28,163.3461036173115,803.4108154501489
2023-03-31,129.22086788754478,635.556236639785
2023-04-30,106.20765687615742,699.9349464421297
2023-05-31,80.38436906474014,601.7077486122312
2023-06-30,68.1871640625,1098.8354991898148
2023-07-31,80.28780128696236,886.427430577957
2023-08-31,99.12280252128136,670.9461007784498
2023-09-30,137.65359644675925,755.7369795150463
2023-10-31,150.29756769377238,911.0844054872312
2023-11-30,152.56877219212961,713.6846517372686
2023-12-31,165.86231729950717,834.0213678304211
2024-01-31,194.61695762544804,759.2635178886649
2024-02-29,205.36577397868774,751.3716499066092
2024-03-31,170.71482491823477,730.0636581866039
2024-04-30,134.02701600810187,565.3578836527778
2024-05-31,110.27946351142474,562.784843641353
2024-06-30,72.1310997800926,690.2148321608796
2024-07-31,96.1663665703405,964.8820908613352
2024-08-31,123.07237585349462,1051.7556121662187
2024-09-30,154.8674877974537,1009.2618541504629
2024-10-31,171.49758066980286,833.0113483714158
2024-11-30,180.3511572546296,773.1247944710648
2024-12-31,212.80940257728497,805.7518018537187
