Technology,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind
DUID,ADPPV1,BNGSF1,BNGSF2,BOWWPV1,HVWWPV1,MANNSF2,MAPS2PV1,MAPS3PV1,MBPS2PV1,MWPS1PV1,MWPS2PV1,MWPS3PV1,MWPS4PV1,PAREPS1,TB2SF1,TBSF1,BLUFF1,CATHROCK,CLEMGPWF,CNUNDAWF,GSWF1A,GSWF1B1,HALLWF1,HALLWF2,HDWF1,HDWF2,HDWF3,LGAPWF1,LGAPWF2,LKBONNY1,LKBONNY2,LKBONNY3,MTMILLAR,NBHWF1,PAREPW1,SNOWNTH1,SNOWSTH1,SNOWTWN1,STARHLWF,WATERLWF,WGWF1,WPWF
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-01,,35.72242023470181,36.34562783095772,,,,,,,,,,,,,33.648143173985105,67.48276565156053,,59.69967172766094,,,,66.36944681763974,67.65766290251393,63.21524987703933,62.22607627003803,62.43529444535041,57.613561936130885,,,39.87575629328002,39.26518650654831,,65.87259016978071,,64.2426617314145,63.00675512676245,65.20801883819095,,62.675622654308896,64.432592190383,
2020-01-02,,74.47051370265996,74.77152622899682,,,,,,,,,,,,,73.98691370694279,69.2994966263488,,62.26097260774711,,,,65.91856925028733,64.05473729772721,61.298213963304676,61.76242888836995,61.72919600929416,61.467624479499534,,,70.20735151577824,70.66605253874359,,62.69995757773579,,63.29920588363029,63.74537651666119,62.495126043051265,,64.29422284103757,65.65615061366819,
2020-01-03,,62.09513548453462,62.59013887351401,,,,,,,,,,,,,63.03688947501461,59.17498860281745,,55.463896642627006,,,,56.305121558414235,57.71505700070437,54.245883888760275,53.714993050913165,53.92502692367188,53.65600708092717,,,50.82762425858289,50.30851284407716,,54.55828430069362,,59.3927647745712,58.287506236535854,58.413452162491986,,55.399666109802624,56.142846382176316,
2020-01-04,,-1.0998239207232248,-5.709443275785838,,,,,,,,,,,,,-4.729119976922552,24.32070527177899,,20.34658011768102,,,,28.89388448281972,31.54476274269236,27.08336842606787,24.721116093744676,25.082216098123002,39.32696770926491,,,28.70388650715918,32.41908845926131,,26.288567407518602,,28.47065511979668,26.723216217419267,29.77065633734267,,34.68367159679955,29.83719004793,
2020-01-05,,3.6680275795104307,4.6413650549991,,,,,,,,,,,,,1.437544005989504,14.242346146859722,,17.987993637708755,,,,16.624523693964985,17.432184829426266,17.237848158428836,16.390594134401628,16.62522036016223,26.307962204962546,,,19.054277036533794,19.071600373074887,,16.903552084624756,,15.353216413818027,16.835462542312797,16.613826250532185,,16.71459452697314,15.25311085810975,
2020-01-06,,58.23575089874116,59.546596365227494,,,,,,,,,,,,,59.92582820957031,57.069520784730344,,51.447260045559965,,,,50.473702010424134,49.386429071134586,48.85736995151904,49.55323785537228,51.990465476689295,53.136661221710746,,,57.22181660358688,57.678412340652656,,49.33227718119768,,54.88434015201461,51.91205054800935,54.10233158228914,,50.846915551562866,46.592721150953366,
2020-01-07,,62.30999463649259,63.09577824609259,,,,,,,,,,,,,60.28922609693793,55.38084788172012,,58.88633459404245,,,,54.02057925832435,53.233496261586254,53.93343440254797,54.13384472762721,54.53291164418979,56.152812035267985,,,57.540648169941306,58.305854953058,,54.87733903329098,,61.62746531483683,59.585456725523656,59.050626565068434,,54.98209239601513,53.81444485256585,
2020-01-08,,60.848892644230055,61.117858651057574,,,,,,,,,,,,,61.09508277789256,47.32172852438824,,51.268741933327334,,,,49.86619831846643,48.779224452826725,49.15882194078566,48.90210069423874,49.12951996681148,53.828445879534705,,,57.346407088411915,55.083554562621444,,50.145916981915356,,53.4487890719833,53.002552872267756,51.55187898045647,,48.92198741974585,48.02772173400172,
2020-01-09,,90.63267405021936,95.60059969337021,,,,,,,,,,,,,91.40494256405064,76.02869466004384,,62.868806599730775,,,,70.07764024880066,61.699645865882815,64.15825877289694,63.2730207799591,64.58278804152526,75.77270010017821,,,34.98224265409634,35.5600720506679,,63.30898829080996,,65.44278288419771,62.210109339034005,61.150746801865196,,54.062355703314246,67.90530858898198,
2020-01-10,,77.09870353742413,74.89664758881929,,,,,,,,,,,,,66.68520777955436,57.018726354463695,,58.72759265807869,,,,58.65790132694464,59.364760307654244,58.200158836410296,57.55106932080087,58.02013840108955,67.64013844885706,,,56.514594457483625,56.47774106511762,,58.756855679438,,57.05061563730153,57.02033783532307,56.34425588622769,,59.121537633364866,46.890956765138625,
2020-01-11,,-1.0457173988432533,0.15844591114251735,,,,,,,,,,,,,-5.365834785479428,28.173827400364242,,33.17165494867269,,,,31.108128799810476,32.845849813641415,30.05068011386404,28.81215719975664,28.91786965175611,12.15503392778872,,,27.720426368606223,28.47872513011273,,29.325495981716326,,29.189050262907404,29.821014491775692,28.815182654027414,,36.001336500186355,,
2020-01-12,,38.90319967351725,39.34388652095795,,,,,,,,,,,,,36.62612975012701,42.01799750385881,,41.047861128067375,,,,40.24872371852114,40.84730805387951,38.952698467572375,39.06833846964387,39.1484066396267,44.511281462958465,,,51.65103218869645,51.124581741501,,39.325906635532746,,43.320215098413286,44.21442100021473,42.218002616407624,,39.995394873560976,,
