Technology,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Wind,Wind,Wind,Wind,Wind,Wind
DUID,BLUEGSF1,CHILDSF1,CLARESF1,CLERMSF1,COLUMSF1,CSPVPS1,DAYDSF1,DDSF1,EDENVSF1,EMERASF1,GANGARR1,HAMISF1,HAUGHT11,HAYMSF1,KEPSF1,KINGASF1,KSP1,LILYSF1,MARYRSF1,MIDDLSF1,MOUSF1,OAKEY1SF,OAKEY2SF,RRSF1,RUGBYR1,SMCSF1,SRSF1,WANDSF1,WARWSF1,WARWSF2,WDGPH1,WHITSF1,WOOLGSF1,YARANSF1,CLRKCWF1,COOPGWF1,DULAWF1,KABANWF1,KEPWF1,MEWF1
Quarter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-31,,52.97373887957013,48.68826242580142,51.853261646303004,,49.685867099790926,49.77975614749701,50.270588415272485,,52.99626043873471,,49.350793127323286,53.18892374354803,49.80504148499177,,,49.13844505511298,49.56418322667029,33.80432650790095,,,54.51971584937962,48.83932667069524,49.70349469806397,53.221973420739864,51.28438988935669,48.452389587179006,,,,,48.74803160912234,,39.12376761563052,,49.10636733702577,,,,50.6875509220188
2020-06-30,,23.927661739633542,23.22016734001991,22.180896293299103,,21.06816518627109,23.231283214434043,20.12325573881809,,26.09328830866987,,20.258591727836063,21.618862644188624,22.03074657844781,,,24.51408821696364,23.756877363707137,21.48306703507789,,,26.820766443159762,21.5418615264009,21.805229961120578,23.515607582136777,22.34432652726938,23.842547814276102,,,,,25.878663337725566,,25.30055415520951,,32.96999576312837,,,,34.43233362135575
2020-09-30,,12.637727509863543,16.64877108399154,18.139790665955953,,12.315126527875988,16.059635883149046,11.08852514461174,,21.80555557063333,,13.058346911996157,12.434682851544666,17.32593745448541,,,18.76273380181838,17.06240777083473,15.205161061165587,,,21.897824755019954,13.054878094639712,12.447824241087222,14.704193012266833,14.46635295150013,11.636773268873178,,-1.4402715983574916,-4.3447869331189,,24.34362197303234,,16.425824682072484,,32.23721407892488,,,,31.899465323727796
2020-12-31,,37.948559403184674,40.55375084126756,39.69742815479513,,38.01733374286775,37.05873850763505,34.8300820191827,,42.20984381043414,,37.584268109551935,41.514353864112735,37.178999684273336,,,39.600241008539534,41.351939970565844,37.5797872904011,75.09960378474213,,36.75590378458895,35.36002710169617,39.16356346178856,39.79629849526311,31.623109222453458,40.322916553439256,,68.25396213451633,44.783374385984196,,41.82023174042129,,37.0548539416139,,42.97558772181846,,,,45.212033076950675
2021-03-31,,34.04014290292803,32.57404725234865,34.042426031529665,,32.8715120477994,33.41126991279431,33.47413665748523,,33.59647746507384,,33.33894427329308,33.011638462327255,32.803980883749496,,,34.93675458505143,33.61673839753077,34.25179014360894,32.24792979330058,,35.48280510698517,35.476331188347054,32.96009059747958,32.99929076764789,21.420470138093645,34.5414626852077,,33.637500016233005,38.64643344299389,,33.41481049673058,,36.157737515362804,,40.234204605674734,,,,39.66973573813128
2021-06-30,,54.81735121149626,49.47930563746115,63.6978616272079,,47.214643062903654,49.9905085632394,47.20380196034481,,65.05930879309045,,51.31887197896674,53.57281920820815,52.15096423929998,,,65.98875196501348,65.39675956863024,45.38083131195517,64.44751466434093,,57.39477107164213,49.084167034358416,46.60557749893125,49.20581854532173,28.389312009108217,51.36015733892122,,70.49661551381797,50.60864791723837,,59.47257238004071,,57.524809094226896,,86.00971156405356,,,,85.13953928049645
2021-09-30,,30.13808429782054,50.18043550869915,39.812815743593426,,30.940642756042127,35.916647962583745,23.261124671112885,,54.15104579583921,4.2323743620523855,39.492493484338674,35.82951516891454,39.038310555946744,42.97484064024252,,47.10285456830532,49.599830548296836,27.193072550798647,36.19593599449648,,41.39863033652376,28.86449076736335,32.208153896007786,39.13783698777594,10.784444173005818,29.812435244528167,,28.560533729018164,29.376108872138012,,54.55411962662011,,34.69126777613549,,83.95837512325323,,,62.37777186290394,73.7544092055521
2021-12-31,,58.29826143920438,75.02006331987656,70.52238304623299,,54.91861471289175,63.73603388877416,47.884497371610344,,84.05974513860367,56.227641102221085,70.18122045109001,66.54000047714983,68.51218711315255,74.35661221951788,,63.62263536809528,79.38283903917493,54.88860049357185,72.69944863945928,,73.46237432790114,63.29280213941129,59.733304487919824,70.66089178606713,76.24121473414941,59.58751379534925,,17.661633489235278,23.08761260201087,352.7848075,77.66297589555411,,58.622544426137694,,81.4261801916873,,,102.76176264855432,110.96553328978393
