Quarter,DWA price
2020-03-31,63.064245534109
2020-06-30,31.80205312925044
2020-09-30,21.878359596110116
2020-12-31,16.909601202067805
2021-03-31,13.327340131429581
2021-06-30,40.86898796229209
2021-09-30,18.859239847526688
2021-12-31,17.472134551173504
2022-03-31,49.30836113138967
2022-06-30,158.80622968373564
2022-09-30,135.54637579802605
2022-12-31,11.133813468151637
2023-03-31,27.458936052417766
2023-06-30,67.69363530448342
2023-09-30,27.377354584749693
2023-12-31,2.9535560266841925
2024-03-31,24.431560515633628
2024-06-30,79.1355248875582
2024-09-30,50.33321565278317
2024-12-31,27.35548309768968
