Time of day,Solar,Wind
0,0.06635408684546616,966.7933722938333
1,0.07248127394636016,960.3055871788907
2,0.08633999361430396,951.6683590836526
3,0.09600163154533845,944.4769821971355
4,0.08810762497719395,935.3388011448641
5,0.1054520297390987,929.5573581112023
6,0.12521793377120966,928.2674572048895
7,0.12004248722860791,927.2620309085934
8,0.0959027380952381,928.6875701436782
9,0.10267935367633645,929.4633993824119
10,1.3068167624521072,928.8677913688196
11,14.281209633278598,928.8448302526912
12,52.50008461229703,922.3336153352491
13,110.23574522486773,900.3427983342457
14,176.6904123467433,870.6546844088671
15,241.33479653621603,844.1677566297209
16,306.9196594111476,819.8663695155993
17,358.02639258210183,792.1805620457034
18,389.4780636024448,768.0929055423281
19,396.39029208857875,745.9677242638205
20,401.74704858830506,735.1235290252691
21,401.2112960700602,730.4973388720124
22,399.1225244517424,730.7908237579821
23,392.61476168217473,730.2331423262178
24,389.8960620730706,734.63607742474
25,385.20967232393724,738.8453738866083
26,380.8068144914249,746.2244833365262
27,378.37403226372925,757.4713930975187
28,374.77417884555734,777.8879714833059
29,375.52590252098156,802.5398119353221
30,375.3800014541142,830.020601027641
31,362.08889284254695,859.9140700346652
32,333.74604877075353,886.1644086307242
33,285.25773878443715,911.4421514048532
34,218.3604501245211,930.648048452381
35,149.48916298668127,949.9507192971173
36,84.1704591028097,970.4508282457581
37,33.18691270343003,987.5154586576355
38,5.537658141306331,997.5487918627988
39,0.2286091780696953,1006.0094978420908
40,0.07608491333698231,1012.1346303858786
41,0.0675017286991425,1017.1862883150885
42,0.06567583743842365,1014.9514821715927
43,0.06825908775770845,1007.9248537967525
44,0.06433073800401387,996.5774824489145
45,0.062419794745484404,987.7852604127897
46,0.06779355363984675,982.6882933388068
47,0.07360817232256887,976.0304987456668
