Quarter,Total demand
2020-03-31,7848.636942155067
2020-06-30,7737.303973977412
2020-09-30,8090.763289553141
2020-12-31,7164.123915685387
2021-03-31,7452.792616898148
2021-06-30,7941.859998473748
2021-09-30,7877.558385416666
2021-12-31,6937.755966183576
2022-03-31,7500.382272376543
2022-06-30,7904.411483516484
2022-09-30,8231.034299139492
2022-12-31,6798.831604015701
2023-03-31,7520.242832175926
2023-06-30,7793.067960164835
2023-09-30,7619.459443312198
2023-12-31,6946.231716108092
2024-03-31,7590.510619658119
2024-06-30,7783.743982753358
2024-09-30,7702.187801932367
2024-12-31,6914.767788345411
