Region,Date,Highest-priced hour,Lowest-priced hour
NSW,2015-07-31,17,14
NSW,2015-08-01,18,3
NSW,2015-08-02,0,4
NSW,2015-08-03,18,2
NSW,2015-08-04,18,22
NSW,2015-08-05,18,3
NSW,2015-08-06,7,14
NSW,2015-08-07,7,13
NSW,2015-08-08,18,3
NSW,2015-08-09,17,4
NSW,2015-08-10,18,4
NSW,2015-08-11,18,11
NSW,2015-08-12,7,14
NSW,2015-08-13,18,12
NSW,2015-08-14,7,12
NSW,2015-08-15,18,4
NSW,2015-08-16,18,13
NSW,2015-08-17,18,3
NSW,2015-08-18,18,3
NSW,2015-08-19,6,21
NSW,2015-08-20,18,3
NSW,2015-08-21,7,3
NSW,2015-08-22,18,14
NSW,2015-08-23,18,4
NSW,2015-08-24,17,3
NSW,2015-08-25,18,3
NSW,2015-08-26,18,5
NSW,2015-08-27,18,3
NSW,2015-08-28,18,4
NSW,2015-08-29,18,6
NSW,2015-08-30,18,6
NSW,2015-08-31,18,4
NSW,2015-09-01,18,3
NSW,2015-09-02,18,3
NSW,2015-09-03,18,4
NSW,2015-09-04,18,3
NSW,2015-09-05,18,4
NSW,2015-09-06,18,6
NSW,2015-09-07,18,3
NSW,2015-09-08,18,1
NSW,2015-09-09,18,11
NSW,2015-09-10,18,11
NSW,2015-09-11,18,13
NSW,2015-09-12,18,2
NSW,2015-09-13,18,6
NSW,2015-09-14,18,4
NSW,2015-09-15,18,4
NSW,2015-09-16,18,3
NSW,2015-09-17,22,3
NSW,2015-09-18,19,17
NSW,2015-09-19,18,11
NSW,2015-09-20,18,12
NSW,2015-09-21,18,2
NSW,2015-09-22,18,3
NSW,2015-09-23,18,2
NSW,2015-09-24,20,1
NSW,2015-09-25,22,16
NSW,2015-09-26,18,12
NSW,2015-09-27,20,16
NSW,2015-09-28,18,21
NSW,2015-09-29,18,2
NSW,2015-09-30,18,3
NSW,2015-10-01,18,4
NSW,2015-10-02,23,3
NSW,2015-10-03,16,5
NSW,2015-10-04,16,3
NSW,2015-10-05,16,3
NSW,2015-10-06,12,3
NSW,2015-10-07,5,3
NSW,2015-10-08,18,2
NSW,2015-10-09,6,2
NSW,2015-10-10,18,3
NSW,2015-10-11,18,3
NSW,2015-10-12,18,2
NSW,2015-10-13,13,2
NSW,2015-10-14,18,4
NSW,2015-10-15,16,2
NSW,2015-10-16,18,2
NSW,2015-10-17,18,2
NSW,2015-10-18,18,3
NSW,2015-10-19,15,2
NSW,2015-10-20,12,2
NSW,2015-10-21,8,2
NSW,2015-10-22,5,2
NSW,2015-10-23,9,3
NSW,2015-10-24,8,2
NSW,2015-10-25,18,3
NSW,2015-10-26,6,2
NSW,2015-10-27,6,2
NSW,2015-10-28,12,2
NSW,2015-10-29,6,2
NSW,2015-10-30,6,2
NSW,2015-10-31,10,2
NSW,2015-11-01,18,2
NSW,2015-11-02,18,2
NSW,2015-11-03,18,2
NSW,2015-11-04,9,2
NSW,2015-11-05,6,2
NSW,2015-11-06,18,2
NSW,2015-11-07,19,3
NSW,2015-11-08,18,2
NSW,2015-11-09,16,2
NSW,2015-11-10,12,2
NSW,2015-11-11,6,2
NSW,2015-11-12,6,2
NSW,2015-11-13,6,3
NSW,2015-11-14,8,3
NSW,2015-11-15,19,2
NSW,2015-11-16,6,2
NSW,2015-11-17,19,3
NSW,2015-11-18,15,3
NSW,2015-11-19,16,2
NSW,2015-11-20,15,21
NSW,2015-11-21,6,3
NSW,2015-11-22,19,3
NSW,2015-11-23,19,2
NSW,2015-11-24,16,2
NSW,2015-11-25,15,2
NSW,2015-11-26,14,2
NSW,2015-11-27,6,21
NSW,2015-11-28,9,3
NSW,2015-11-29,17,5
NSW,2015-11-30,15,0
NSW,2015-12-01,15,16
NSW,2015-12-02,4,2
NSW,2015-12-03,6,2
NSW,2015-12-04,11,2
NSW,2015-12-05,17,2
NSW,2015-12-06,14,2
NSW,2015-12-07,15,2
NSW,2015-12-08,15,1
NSW,2015-12-09,16,2
NSW,2015-12-10,16,21
NSW,2015-12-11,12,3
NSW,2015-12-12,8,1
NSW,2015-12-13,19,5
NSW,2015-12-14,15,2
NSW,2015-12-15,15,3
NSW,2015-12-16,22,2
NSW,2015-12-17,17,3
NSW,2015-12-18,16,1
NSW,2015-12-19,15,5
NSW,2015-12-20,19,5
NSW,2015-12-21,12,2
NSW,2015-12-22,16,3
NSW,2015-12-23,9,3
NSW,2015-12-24,12,3
NSW,2015-12-25,17,3
NSW,2015-12-26,19,3
NSW,2015-12-27,19,1
NSW,2015-12-28,22,4
NSW,2015-12-29,16,3
NSW,2015-12-30,15,3
NSW,2015-12-31,16,3
NSW,2016-01-01,2,5
NSW,2016-01-02,18,2
NSW,2016-01-03,19,3
NSW,2016-01-04,8,2
NSW,2016-01-05,22,2
NSW,2016-01-06,23,3
NSW,2016-01-07,19,2
NSW,2016-01-08,4,2
NSW,2016-01-09,15,0
NSW,2016-01-10,15,5
NSW,2016-01-11,14,2
NSW,2016-01-12,13,3
NSW,2016-01-13,15,2
NSW,2016-01-14,13,2
NSW,2016-01-15,8,1
NSW,2016-01-16,8,2
NSW,2016-01-17,18,2
NSW,2016-01-18,16,3
NSW,2016-01-19,16,1
NSW,2016-01-20,16,2
NSW,2016-01-21,13,3
NSW,2016-01-22,12,3
NSW,2016-01-23,8,4
NSW,2016-01-24,18,3
NSW,2016-01-25,8,3
NSW,2016-01-26,17,4
NSW,2016-01-27,11,2
NSW,2016-01-28,16,2
NSW,2016-01-29,5,2
NSW,2016-01-30,12,2
NSW,2016-01-31,19,3
NSW,2016-02-01,6,2
NSW,2016-02-02,15,1
NSW,2016-02-03,14,2
NSW,2016-02-04,6,2
NSW,2016-02-05,12,2
NSW,2016-02-06,16,1
NSW,2016-02-07,17,6
NSW,2016-02-08,15,2
NSW,2016-02-09,15,2
NSW,2016-02-10,15,2
NSW,2016-02-11,15,2
NSW,2016-02-12,16,1
NSW,2016-02-13,16,3
NSW,2016-02-14,19,2
NSW,2016-02-15,13,2
NSW,2016-02-16,6,3
NSW,2016-02-17,6,2
NSW,2016-02-18,19,3
NSW,2016-02-19,15,23
NSW,2016-02-20,10,4
NSW,2016-02-21,17,5
NSW,2016-02-22,15,2
NSW,2016-02-23,15,3
NSW,2016-02-24,15,1
NSW,2016-02-25,16,2
NSW,2016-02-26,7,3
NSW,2016-02-27,19,2
NSW,2016-02-28,19,22
NSW,2016-02-29,19,2
NSW,2016-03-01,6,2
NSW,2016-03-02,15,3
NSW,2016-03-03,15,0
NSW,2016-03-04,12,0
NSW,2016-03-05,15,1
NSW,2016-03-06,18,5
NSW,2016-03-07,15,1
NSW,2016-03-08,14,2
NSW,2016-03-09,15,21
NSW,2016-03-10,8,2
NSW,2016-03-11,13,3
NSW,2016-03-12,15,23
NSW,2016-03-13,15,4
NSW,2016-03-14,13,3
NSW,2016-03-15,22,21
NSW,2016-03-16,6,1
NSW,2016-03-17,12,2
NSW,2016-03-18,22,2
NSW,2016-03-19,7,11
NSW,2016-03-20,7,21
NSW,2016-03-21,6,0
NSW,2016-03-22,18,3
NSW,2016-03-23,22,2
NSW,2016-03-24,5,3
NSW,2016-03-25,18,5
NSW,2016-03-26,18,5
NSW,2016-03-27,18,5
NSW,2016-03-28,18,4
NSW,2016-03-29,8,2
NSW,2016-03-30,6,2
NSW,2016-03-31,18,2
NSW,2016-04-01,15,2
NSW,2016-04-02,18,3
NSW,2016-04-03,18,1
NSW,2016-04-04,18,0
NSW,2016-04-05,16,2
NSW,2016-04-06,18,5
NSW,2016-04-07,6,3
NSW,2016-04-08,15,2
NSW,2016-04-09,18,3
NSW,2016-04-10,18,13
NSW,2016-04-11,18,0
NSW,2016-04-12,6,1
NSW,2016-04-13,6,3
NSW,2016-04-14,18,4
NSW,2016-04-15,23,21
NSW,2016-04-16,22,4
NSW,2016-04-17,20,9
NSW,2016-04-18,18,2
NSW,2016-04-19,23,21
NSW,2016-04-20,6,21
NSW,2016-04-21,17,3
NSW,2016-04-22,6,4
NSW,2016-04-23,22,4
NSW,2016-04-24,22,2
NSW,2016-04-25,17,5
NSW,2016-04-26,6,3
NSW,2016-04-27,6,2
NSW,2016-04-28,6,0
NSW,2016-04-29,6,0
NSW,2016-04-30,17,3
NSW,2016-05-01,23,4
NSW,2016-05-02,17,4
NSW,2016-05-03,7,2
NSW,2016-05-04,6,0
NSW,2016-05-05,6,3
NSW,2016-05-06,6,1
NSW,2016-05-07,17,3
NSW,2016-05-08,9,4
NSW,2016-05-09,10,2
NSW,2016-05-10,17,5
NSW,2016-05-11,8,4
NSW,2016-05-12,17,1
NSW,2016-05-13,17,4
NSW,2016-05-14,17,21
NSW,2016-05-15,18,1
NSW,2016-05-16,6,13
NSW,2016-05-17,17,1
NSW,2016-05-18,6,4
NSW,2016-05-19,17,3
NSW,2016-05-20,6,2
NSW,2016-05-21,17,11
NSW,2016-05-22,17,4
NSW,2016-05-23,6,0
NSW,2016-05-24,17,4
NSW,2016-05-25,17,4
NSW,2016-05-26,10,2
NSW,2016-05-27,22,10
NSW,2016-05-28,9,4
NSW,2016-05-29,17,5
NSW,2016-05-30,7,3
NSW,2016-05-31,13,3
NSW,2016-06-01,18,2
NSW,2016-06-02,7,3
NSW,2016-06-03,7,3
NSW,2016-06-04,9,3
NSW,2016-06-05,18,5
NSW,2016-06-06,18,2
NSW,2016-06-07,18,2
NSW,2016-06-08,9,3
NSW,2016-06-09,6,5
NSW,2016-06-10,6,4
NSW,2016-06-11,20,5
NSW,2016-06-12,20,13
NSW,2016-06-13,9,4
NSW,2016-06-14,17,3
NSW,2016-06-15,17,3
NSW,2016-06-16,17,3
NSW,2016-06-17,6,2
NSW,2016-06-18,17,2
NSW,2016-06-19,13,4
NSW,2016-06-20,18,3
NSW,2016-06-21,17,3
NSW,2016-06-22,18,2
NSW,2016-06-23,17,3
