Interval,DWA price
2020-01-31,82.58070619743606
2020-02-29,61.50665844161231
2020-03-31,40.06098599245676
2020-04-30,23.541537329259707
2020-05-31,30.16145875168945
2020-06-30,42.169641821618065
2020-07-31,52.966929777158306
2020-08-31,32.84800552078217
2020-09-30,-10.993186266632952
2020-10-31,16.098044571837086
2020-11-30,28.2416076131338
2020-12-31,5.090513711887177
2021-01-31,7.857123732400805
2021-02-28,11.356360078957593
2021-03-31,23.038877005033427
2021-04-30,30.43411791728065
2021-05-31,36.3528437546135
2021-06-30,66.11109358933838
2021-07-31,71.41507266273284
2021-08-31,10.6008571753782
2021-09-30,-9.257157131988698
2021-10-31,-15.41856083736373
2021-11-30,23.24321097782214
2021-12-31,33.9829420773968
2022-01-31,85.53183819789491
2022-02-28,20.926594049461578
2022-03-31,39.67087310127399
2022-04-30,94.28759543155664
2022-05-31,188.37189610549345
2022-06-30,216.63157068595575
2022-07-31,264.87571477648385
2022-08-31,91.54334627494417
2022-09-30,71.13712039412978
2022-10-31,23.87543933066743
2022-11-30,29.986629343449412
2022-12-31,-11.865666648449054
2023-01-31,25.527428186126677
2023-02-28,44.018801018910885
2023-03-31,10.729628376812899
2023-04-30,33.29380818938545
2023-05-31,121.345000515098
2023-06-30,50.04921367846417
2023-07-31,30.338864057037465
2023-08-31,58.23627554093414
2023-09-30,-2.7708505093079236
2023-10-31,-5.870126377588185
2023-11-30,2.670731547898455
2023-12-31,11.695789296878514
2024-01-31,7.048849900733624
2024-02-29,31.958244197583717
2024-03-31,33.77922527091446
2024-04-30,37.48408989297838
2024-05-31,86.52734457301608
2024-06-30,140.40206899517753
2024-07-31,105.5950234604953
2024-08-31,60.10183570001216
2024-09-30,-4.455363005377902
2024-10-31,0.0376507691125918
2024-11-30,33.64607059313164
2024-12-31,40.45355005157407
