Year,0–3%,3–5%,5–7%,7–10%,10% or more
2020,570.0,38.0,20.0,6.0,3.0
2021,1551.0,63.0,28.0,10.0,9.0
2022,2497.0,100.0,41.0,23.0,23.0
2023,3454.0,131.0,52.0,35.0,34.0
2024,3984.0,122.0,43.0,36.0,29.0
2025,3867.0,84.0,24.0,18.0,26.0
2026,2966.0,46.0,12.0,17.0,17.0
2027,2005.0,20.0,3.0,1.0,7.0
2028,1005.0,1.0,2.0,3.0,5.0
2029,124.0,0.0,0.0,0.0,0.0
