Technology,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind
DUID,AVLSF1,BERYLSF1,BOMENSF1,BROKENH1,COLEASF1,CRWASF1,DARLSF1,FINLYSF1,GNNDHSF1,GOONSF1,GULLRSF1,HILLSTN1,JEMALNG1,JUNEESF1,LIMOSF11,LIMOSF21,MANSLR1,METZSF1,MOLNGSF1,MOREESF1,NEVERSF1,NEWENSF1,NEWENSF2,NYNGAN1,PARSF1,SEBSF1,STUBSF1,STUBSF2,SUNRSF1,SUNTPSF1,WAGGNSF1,WELLSF1,WELNSF1,WRSF1,WSTWYSF1,WYASF1,BANGOWF1,BANGOWF2,BOCORWF1,BODWF1,COLWF01,CROOKWF2,CROOKWF3,CRURWF1,FLYCRKWF,GULLRWF1,GULLRWF2,GUNNING1,RYEPARK1,SAPHWF1,STWF1,TARALGA1,WOODLWN1,WRWF1
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-01,,36.375041915750444,,37.942646771738026,39.560285116139134,,,38.85443408457101,,,35.73595639962834,,,,,57.85631333333333,35.448798501698164,,,36.95618485743216,38.41393093846699,,,35.976803809290665,41.32054375690401,,,,,,,,,34.84047864844889,,,,,51.377689684388734,45.95302931641639,,53.115169549791425,,,,50.49525414494618,,50.51056138149019,,57.08415801089387,48.146995928212796,51.55639145855233,54.63332572458169,54.12593581702562
2020-01-02,,60.024952105982614,,61.326661865260576,60.776191774523,,,51.45345930231621,,,59.78837445335562,,,,,62.92790220474889,59.94880093811365,,,58.66363291518352,60.44581397543051,,,59.72926721662902,60.52403400857596,,,,,,,,,56.30732453279181,,,,,62.40609217521083,53.1268925802735,,62.78739813848555,,,,57.001437661852925,,56.38346811656317,,61.69645524759074,52.17932590299306,63.15603721284631,62.93678690313881,57.434688969470756
2020-01-03,,59.66412185861423,,61.608740262608,60.67907005455436,,,52.89366550010021,,,58.387552012683635,,,,,61.005133957174074,59.896069219421534,,,60.45738177891502,60.42427476445682,,,59.635824768114404,59.588530764558044,,,,,,,,,56.976892325912694,,,,,53.793022210150376,50.55216992830662,,58.226966710256335,,,,56.25807252940842,,55.91303817633438,,64.28427782988467,54.934198678959774,60.33963240160906,63.49267116579197,65.31972538920236
2020-01-04,,2332.6905740584507,,57.1757013024163,475.6441635417079,,,425.0287472052534,,,687.629063638592,,,,,55.337462252707496,2246.2677812623733,,,2188.6064102032115,2571.660509160624,,,1509.918251131342,1898.8593255984306,,,,,,,,,937.1136270516303,,,,,1478.6182451266864,608.6277584429248,,1248.7527114256009,,,,987.7330260808291,,564.8163167814,,170.71210731768141,38.329986245325514,1138.5578531319384,1285.9866962216822,512.4883115795169
2020-01-05,,39.269003394599885,,40.83343893505003,38.58503750008185,,,43.15903776921417,,,38.75460872063804,,,,,,39.26027693236125,,,40.125517119936056,39.81491131127448,,,39.4960397938723,39.44950703874365,,,,,,,,,39.13056333926014,,,,,39.68074130118182,41.31926714428476,,41.74064762244809,,,,41.56093214634511,,41.290014899552325,,42.203358923849244,41.25246067519357,42.21849876245818,41.229545015490075,42.367120921534976
2020-01-06,,50.97547627994244,,52.31560021287432,51.65887239106291,,,52.133311822309786,,,52.32785497388086,,,,,,51.43681402341616,,,51.834669092138114,51.58181597791773,,,51.242084980056525,51.64541129500146,,,,,,,,,51.64303050492521,,,,,47.42683133566703,47.434471137602664,,46.39003042895569,,,,45.81933630424257,,47.19201576057065,,44.805166152611285,46.125702649829464,46.65856626848402,46.69974994936157,43.555538088641384
2020-01-07,,52.321908910488595,,58.83315856108013,60.155485650264374,,,58.77946349423251,,,54.631326048733925,,,,,58.14569257645481,55.515504794438066,,,53.55902955935143,58.04875909197627,,,56.17071810633136,56.775043873945734,,,,,,,,,50.50477036659623,,,,,72.6434354025044,50.328283246607924,,52.84652536368786,,,,54.63277731436235,,56.0851103958351,,48.39316483442124,50.35047853145674,55.34808645859851,61.35720702003977,51.42366109107358
2020-01-08,,53.786730843125454,,53.82063747000152,54.07144591669781,,,53.89430512208708,,,53.31174955444396,,,,,53.74590083006732,53.80353680089695,,,54.1207286869861,54.07547756635736,,,53.01417870226904,53.79683500443521,,,,,,,,,52.95078077329705,,,,,54.625215577168966,48.26725111630959,,52.25435561929817,,,,51.161355916750274,,50.59036922413332,,52.26991455927405,48.478529389582256,53.14092195165523,52.20062334306623,53.28276228695784
