Year,0–3%,3–5%,5–7%,7–10%,10% or more
2020,463.0,44.0,25.0,21.0,84.0
2021,921.0,58.0,64.0,37.0,115.0
2022,999.0,139.0,100.0,91.0,107.0
2023,1824.0,197.0,156.0,116.0,165.0
2024,2891.0,220.0,147.0,114.0,108.0
2025,3653.0,149.0,95.0,52.0,70.0
2026,2871.0,96.0,42.0,25.0,24.0
2027,1931.0,64.0,21.0,11.0,9.0
2028,966.0,35.0,9.0,3.0,3.0
2029,120.0,2.0,0.0,2.0,0.0
