Quarter,BLUEGSF1,CHILDSF1,CLARESF1,CLERMSF1,COLUMSF1,CSPVPS1,DAYDSF1,DDSF1,EDENVSF1,EMERASF1,GANGARR1,HAMISF1,HAUGHT11,HAYMSF1,KEPSF1,KINGASF1,KSP1,LILYSF1,MARYRSF1,MIDDLSF1,MOUSF1,OAKEY1SF,OAKEY2SF,RRSF1,RUGBYR1,SMCSF1,SRSF1,WANDSF1,WARWSF1,WARWSF2,WDGPH1,WHITSF1,WOOLGSF1,YARANSF1
2020-03-31,0.0,0.0,0.004593473730257647,0.0052569073894144225,0.0,0.0,0.001157926256713071,0.00208877895446713,0.0,0.017515813978667638,0.0,0.0013295595296174412,0.10069888566914709,0.0056840913995930276,0.0,0.0,0.0,0.007824637731069006,8.5600070762748e-06,0.0,0.0,0.010355524246060233,0.01932648096637446,0.0021963740103830842,0.0048980219760836885,0.026690106943512593,0.003515612377957278,0.0,0.0,0.0,0.0,0.011722527649904668,0.0,0.0041116039294143425
2020-06-30,0.0,0.03322584579201515,0.029717183008993286,0.024458960830733956,0.0,0.008708998176800264,0.030640953614586408,0.0021842382657351056,0.0,0.08526898629474522,0.0,0.007112631861332486,0.07863500986760608,0.024493973029087734,0.0,0.0,0.028295713341665363,0.04582195017925117,0.0508788011754423,0.0,0.0,0.10843122182873766,0.032078768854128636,0.008666834462263906,0.025570762480772613,0.043981086650532686,0.03235727813756173,0.0,0.0,0.0,0.0,0.10502181846320435,0.0,0.035211618977494696
2020-09-30,0.0,0.008201617588023513,0.04816422557261335,0.09903156209502295,0.0,0.007439463529971602,0.048624694747698594,0.016764249388247054,0.0,0.10802267753142192,0.0,0.007893392489360607,0.4933056525911741,0.07998143099133159,0.0,0.0,0.08192337091286472,0.11499629925143728,0.03436262824227587,0.0,0.0,0.21451236273053131,0.0493499803271098,0.001250881378419666,0.052293867937283633,0.1991854968113681,0.008330273752468864,0.0,0.05579297462298971,0.07820422433192009,0.0,0.2713143878786325,0.0,0.10688049922439513
2020-12-31,0.0,0.00258005074913481,0.040373661773818514,0.02884439198964872,0.0,0.03457074333051491,0.057532398127811746,0.01641412570797518,0.0,0.07636568003575395,0.0,0.05385142748581229,0.352711854190773,0.057109137614841154,0.0,0.0,0.06093224545606235,0.0674353784908317,0.014309005575062206,0.0018322064382099157,0.0,0.0634223455466425,0.01374102804369215,0.03586221804171219,0.054662951067648846,0.24477733425178827,0.030415585501148645,0.0,0.00460610686751628,0.0,0.0,0.14697739736161786,0.0,0.08984479052664096
2021-03-31,0.0,0.0,0.0,0.0022694083740578685,0.0,0.0,0.0040028346483180766,0.001706618544364602,0.0,0.014194500525231635,0.0,0.0,0.02062756507053909,0.0,0.0,0.0,0.0,0.0,0.01039699181114806,0.11580619208771403,0.0,0.0,0.0,0.0,0.0,0.5061871410738885,0.0033086113583311594,0.0,0.0,0.0,0.0,0.003377490390316318,0.0,0.003523495575299851
2021-06-30,0.0,0.012761440333063256,0.03093795355332929,0.051223622191101215,0.0,0.0027334881692379076,0.007573610274631326,0.009445209383479813,0.0,0.15094861003858728,0.0,0.06199483547728302,0.09911703354499524,0.04991355958018551,1.0,0.0,0.0576724303515348,0.17880347727128987,0.01862943850905685,0.31246095190148826,0.0,0.10665505520668939,0.015019306953490297,0.003896894731791223,0.0065647164354581955,0.9404395017886487,0.004441181413970097,0.0,0.0,0.00554626587309337,0.0,0.19846961781127692,0.0,0.04017183354330389
2021-09-30,0.0,0.05101633019421081,0.2584534625107975,0.1560112689888199,0.0,0.027520494721263722,0.11461907518483694,0.04455255315708184,0.0,0.2971146724268816,0.0,0.1684904096718235,0.18992270483794937,0.20027338120890414,0.26975469185888035,0.0,0.1853549260188243,0.33565309463820503,0.06226697883976595,0.18305548702659669,0.0,0.251101843381337,0.06937209798243515,0.05609107911556377,0.07296166105307633,0.4906522288684042,0.03309669154921624,0.0,0.0,0.000855725242843941,0.0,0.3909986422908468,0.0,0.17139115986898068
2021-12-31,0.0,0.07478362393954396,0.19288887641300778,0.0881892694943911,0.0,0.0,0.027159614155291556,0.0409839148048442,0.0,0.23633943920750733,0.0,0.10486765003300047,0.06336372780749921,0.07963796219763541,0.1937623156438476,0.0,0.08683715093459321,0.23359106052499823,0.0695264219698225,0.12539800062019923,0.0,0.20142180236344087,0.13000322189683644,0.060795728009459316,0.03911522979172466,0.263320367469257,0.07067631472214264,0.0,0.0,0.0030437817979105386,0.9999097472924188,0.21882945980113078,0.0,0.18516974949933085
2022-03-31,0.0,0.0,0.00586301365862707,0.0,0.0,0.0,0.0,0.008057901195077988,0.0,0.0698321287324224,0.02626909508642339,0.0,0.008661157521294816,0.0,0.19077498819159888,0.0,0.008148799792680461,0.007141828433687825,0.014491921689322784,0.00915296167018409,0.0,0.0,0.0,0.01364015121933615,0.0,0.16392723949113208,0.0,0.0,0.0,0.0019810278578161755,0.0,0.007338471010636116,0.0,0.16602513467744529
2022-06-30,0.0,0.0,0.012585048577825608,0.0,0.0,0.008296712774385484,0.018392572092338577,0.045836780184848935,0.0,0.04518108978186808,0.020414633919750624,0.021031674891165086,0.05516402125489506,0.018808246352052027,0.3096622524927417,0.0,0.023795940850874997,0.030139772632512996,0.027746936622145002,0.007044546710303856,0.0,0.018696706849274936,0.021933110864109318,0.005193129634035287,0.0,0.04801689417446442,0.0,0.0,0.0,0.0,0.02571323099352618,0.05556098001657861,0.18604289688524012,0.05644343943553232
2022-09-30,0.08080598271183292,0.027610630056315477,0.18126392104795808,0.06174734096646406,0.052660584895520834,0.0,0.022279499249047485,0.012012266711598163,0.0,0.17539375228230025,0.04325756304613526,0.04334377719477156,0.09784124893039903,0.15313110556842013,0.19137092256626365,0.0,0.1126680118887099,0.1823833073848743,0.03931694523047791,0.057199974824947875,0.0,0.11441929542026097,0.08687384309492308,0.0046566047586461545,0.04967672928925915,0.025602742806724588,0.026798286219932743,0.0,0.010211000491193833,0.01281202047535035,0.013464076454128504,0.25437049113763777,0.13322351362208418,0.07406900723907084
2022-12-31,0.0277186965118581,0.0,0.173100588496093,0.0,0.03237952359369345,0.0,0.012661914747905456,0.009380931591364772,0.0,0.2414996415848224,0.01324567944980004,0.0,0.06660825859783792,0.13198153411683944,0.20261237225935635,0.0,0.06975754300614811,0.1901009999277169,0.044256558818625225,0.064570275718706,0.5842745886510017,0.13191215880970142,0.0471125404463274,0.00085603977696036,0.009252908720668751,0.01421932245077262,0.0,0.0,0.028721246502399156,0.020045148153882364,0.03241793317827746,0.23584030336436845,0.06821943935112162,0.18079061384375372
2023-03-31,0.04733962843461492,0.004380481418544191,0.1088938077244197,0.01890581153550097,0.016441806112961976,0.01221888174971797,0.04420406681672551,0.016010267881644613,0.0640836123961992,0.1826578700511805,0.023753199375527778,0.018605770343513628,0.05434972877797062,0.13456418595280317,0.1566519118415426,0.0,0.0506314777414012,0.13302621619616006,0.04176559645794253,0.0422072798911185,0.1432395834523421,0.06017198746567343,0.026431639757805936,0.006843833810171285,0.025141406616744466,0.027438647231925573,0.001330128130115238,0.0,0.01969745422602376,0.021218876828976163,0.037557826681494544,0.1639725313719187,0.037044130341044035,0.16447208655689805
2023-06-30,0.02658512646448441,0.028786806336649318,0.20864632979738607,0.01938152369589019,0.0,0.0,0.0,0.008517209349358734,0.0367322385095441,0.201902833432969,0.01446790553105548,0.020770114779708915,0.04926040684279687,0.08325199068731415,0.08166639988886293,0.0,0.028845017524719796,0.03376462312119788,0.04361939984730734,0.016480002186923026,0.02742440602722085,0.10114625452827908,0.07336804603489888,0.0,0.009050762436654147,0.005837095965664507,0.03519491073149128,0.21164081011350988,0.015161706403890252,0.01745356734627712,0.12697573883340663,0.28643190999180745,0.0830508196272195,0.06833958734902545
2023-09-30,0.09019608151078606,0.0067906427107439216,0.5587472036897847,0.12528192339601085,0.13014009865762355,0.014637236505165907,0.014888917799237955,0.0011508612137848262,0.025127457285350818,0.5032252798451378,0.03671019732018932,0.03199069630099716,0.2765815590181092,0.18740921132867805,0.12075781591128765,0.0,0.08443770978055276,0.14328159209684832,0.03638440726926029,0.06332587054034688,0.04183819872983319,0.5269256057235241,0.5006144945532727,0.017622347842298658,0.021127750994351824,0.02768153703494114,0.01662379337343234,0.5572830299615266,0.3780528332928792,0.39524884473217314,0.3143586208447876,0.6270230206370715,0.1983345710728205,0.12244924019749837
2023-12-31,0.0808697389568801,0.003051093861138665,0.45090192784525573,0.003515279135149929,0.05628784377461593,0.000640233573226956,0.0,0.002561413967069215,0.013674620836310325,0.4364443087272021,0.033511044571157944,0.007520298067569042,0.18190442109196603,0.09466117607058289,0.04901371995306747,0.0,0.1521855108345802,0.15407250607050638,0.029083051895970935,0.03327256837257331,0.030347297334752832,0.2738417703790228,0.1546838033876088,0.0029964498951825513,0.009336946724294415,0.011961453108965792,0.012188849689697467,0.2613226345456644,0.4460121733428589,0.46499068684991185,0.2731575161147698,0.48141364277765375,0.2390376612789592,0.011222617191806283
2024-03-31,0.0005182609347785805,0.0,0.05317373090238009,0.0005737153536308215,0.0,0.004733446816511222,0.0,0.0020046157964928035,0.0024305205577821454,0.147978570256182,0.0,0.0,0.0,0.0,0.025970552437911687,0.0,0.014194518361957176,0.0015557982348688437,0.0,0.0012606158821933944,0.0,0.019684057403374533,0.0,0.005269594684459644,0.0,0.0,0.0,0.0,0.10272574665355372,0.10510704587459951,0.04090284893402807,0.03230388952401442,0.01836185635270149,0.005918396910683854
2024-06-30,0.0455215876674141,0.0006654841885026519,0.07597983167646782,0.01540988048681402,0.023550766307979476,0.007685483665278547,0.0029034999319230703,0.0059340379389003495,0.01259373966624433,0.36146444422870205,0.018292399507730983,0.025816954703647865,0.11954547028653906,0.08632828302509821,0.06004757743571887,0.0,0.13770717134121568,0.06106998916749029,0.02419705048690235,0.02677583126790195,0.005691130019290669,0.16889090697735876,0.0354592113406359,0.00923584033498459,0.03092885551047564,0.04843680970597852,0.012810072828238095,0.04183206226493941,0.40908071957566683,0.3452269252489565,0.2439075983245843,0.13104691564725846,0.21927767676716525,0.019509466882616122
2024-09-30,0.07308234484597409,0.10739256612309345,0.1532723453806375,0.060153430033213606,0.07430383900938053,0.0068357836007348904,0.03250490402603057,0.007780464588725611,0.01859131856297358,0.003230267564551026,0.19499657684133387,0.0935789660263211,0.24980394022890018,0.27394223373435156,0.052980546472205625,0.19716804413030942,0.28756338335732057,0.26924859343556096,0.028219972304856178,0.04270249492605882,0.01980377067680339,0.419433980939244,0.1039544748372474,0.008305637053365622,0.10549561950700725,0.1065519581931168,0.10120957534263986,0.1752672003555492,0.5821414328459272,0.5627201378564346,0.4288002372965175,0.3219911213613361,0.4544248304488866,0.04178116338988158
2024-12-31,0.019584174129286036,0.19446145355360667,0.12183518194900234,0.022521262499511474,0.027328028171646035,0.008413934860429184,0.07604237924954205,0.015069764143596953,0.11396164563298761,0.006219678286701891,0.25574793655519945,0.07046579704406963,0.08500125841827844,0.2580297162563808,0.04426384711453113,0.10084329513942114,0.37160750884560445,0.1323588443670599,0.14641356522439908,0.058122037844484775,0.017001330975256024,0.3603222261139146,0.12012133858575735,0.013838659660486807,0.07892464868583682,0.1292905084868754,0.19595830395705616,0.22174741965181355,0.41308086664225996,0.4275389611445416,0.2369846883172062,0.3480771672573201,0.3680781920127624,0.20163958809596294
