Interval,Solar,Wind
2020-01-31,1550.0645161290322,618.0
2020-02-29,1574.655172413793,618.0
2020-03-31,1597.0,618.0
2020-04-30,1597.0,618.0
2020-05-31,1597.0,618.0
2020-06-30,1597.0,618.0
2020-07-31,1597.0,618.0
2020-08-31,1597.0,618.0
2020-09-30,1616.2,618.0
2020-10-31,1661.0,618.0
2020-11-30,1661.0,618.0
2020-12-31,1681.1290322580646,618.0
2021-01-31,1687.0,618.0
2021-02-28,1687.0,618.0
2021-03-31,1687.0,618.0
2021-04-30,1759.0,618.0
2021-05-31,1807.0,618.0
2021-06-30,1811.5,630.9
2021-07-31,1822.0,661.0
2021-08-31,1822.0,661.0
2021-09-30,1822.0,661.0
2021-10-31,1822.0,661.0
2021-11-30,2022.0,661.0
2021-12-31,2222.0,661.0
2022-01-31,2222.0,661.0
2022-02-28,2370.0,661.0
2022-03-31,2370.0,661.0
2022-04-30,2370.0,661.0
2022-05-31,2415.4193548387098,661.0
2022-06-30,2637.8,661.0
2022-07-31,2708.0,661.0
2022-08-31,2708.0,661.0
2022-09-30,2708.0,686.3333333333334
2022-10-31,2745.032258064516,813.0
2022-11-30,2790.0,813.0
2022-12-31,2846.516129032258,813.0
2023-01-31,2936.0,813.0
2023-02-28,2936.0,813.0
2023-03-31,3036.8064516129034,813.0
2023-04-30,3061.0,968.7
2023-05-31,3061.0,986.0
2023-06-30,3061.0,986.0
2023-07-31,3061.0,986.0
2023-08-31,3061.0,986.0
2023-09-30,3061.0,986.0
2023-10-31,3061.0,986.0
2023-11-30,3061.0,986.0
2023-12-31,3061.0,986.0
2024-01-31,3061.0,986.0
2024-02-29,3061.0,986.0
2024-03-31,3061.0,986.0
2024-04-30,3061.0,986.0
2024-05-31,3061.0,986.0
2024-06-30,3061.0,986.0
2024-07-31,3061.0,986.0
2024-08-31,3061.0,986.0
2024-09-30,3135.6666666666665,986.0
2024-10-31,3141.0,1153.0
2024-11-30,3141.0,1153.0
2024-12-31,3141.0,1153.0
