Quarter,Solar,Wind
2020-03-31,351.43855985519684,84.12660434409341
2020-06-30,314.65518555765414,172.0222370869582
2020-09-30,326.3032851866319,177.1922089449351
2020-12-31,405.25812668044233,177.87767694859602
2021-03-31,366.51755725366513,174.56706572434413
2021-06-30,294.6289760586462,197.5314734916819
2021-09-30,335.1287957467165,240.52446345316275
2021-12-31,415.9029663205767,181.38728510114737
2022-03-31,459.19246692091053,191.90102940046296
2022-06-30,338.9125328453144,224.65166054639806
2022-09-30,425.0810263551102,226.96181148777174
2022-12-31,625.9007387796271,227.32758304027024
2023-03-31,648.5650873798226,220.0146272150849
2023-06-30,580.5062425757402,295.86541539472677
2023-09-30,609.4626087626434,354.70149883454104
2023-12-31,792.4783292332805,317.0482720993735
2024-03-31,758.0293119175443,304.14772725694445
2024-06-30,559.0565258535562,325.977564010989
2024-09-30,607.6109693532986,349.13411264700335
2024-12-31,798.2984940479695,324.1498293829257
