Quarter,AVLSF1,BERYLSF1,BOMENSF1,BROKENH1,COLEASF1,CRWASF1,DARLSF1,FINLYSF1,GNNDHSF1,GOONSF1,GULLRSF1,HILLSTN1,JEMALNG1,JUNEESF1,LIMOSF11,LIMOSF21,MANSLR1,METZSF1,MOLNGSF1,MOREESF1,NEVERSF1,NEWENSF1,NEWENSF2,NYNGAN1,PARSF1,SEBSF1,STUBSF1,STUBSF2,SUNRSF1,SUNTPSF1,WAGGNSF1,WELLSF1,WELNSF1,WRSF1,WSTWYSF1,WYASF1
2020-03-31,,0.06897921355752681,1.0,0.02436118098768701,0.014696147226267707,,,0.06540447504302926,,,0.10300542830663313,,,,,0.2974976830398517,0.03349662385806964,,,0.07943863365550112,0.18244406196213425,,,0.012312988216602674,0.023037203760095326,,,,,,,,,0.0403813054415464,,
2020-06-30,,0.06672845227062095,0.547464583609162,0.0424996690056931,0.3376141930358798,,,0.15768568780616973,,,0.1699986760227724,,,,,0.0803654177148153,0.07083278167615517,,,0.08221898583344367,0.2205746061167748,,,0.03309943068979213,0.07334833840857938,,,,,,,,,0.07758506553687276,,
2020-09-30,,0.05041906757464641,0.11877946568884233,0.12807752750130957,0.1283394447354636,,,0.16160293347302251,,0.1394709271870089,0.09834992142482975,,,,1.0,0.3065741225772656,0.06338397066526978,,,0.04321634363541121,0.09926663174436878,,,0.047407019381875325,0.045442640125720274,,,,,,,,,0.09952854897852279,,
2020-12-31,,0.06299109481403876,0.058669460450497646,0.06718177056050288,0.03509690937663698,,0.3677317967522263,0.07215819800942902,,0.12650602409638553,0.0749083289680461,,,,0.4036144578313253,0.0680984808800419,0.06351492928234678,,,0.01820324777370351,0.02435830277632268,,,0.013357778941854375,0.02475117862755369,,,,,,,,,0.05605028810895757,,
2021-03-31,,0.15113788487282462,0.2457831325301205,0.040562248995983936,0.026238286479250333,,0.1215528781793842,0.02717536813922356,,0.1362784471218206,0.05314591700133869,,0.7448460508701472,,0.3732262382864793,0.09906291834002677,0.2720214190093708,,0.08473895582329317,0.040160642570281124,0.04685408299866131,,,0.03614457831325301,0.03493975903614458,,,,0.24203480589022758,,,0.5542168674698795,,0.06224899598393574,,
2021-06-30,,0.06209453197405004,0.11253806434529326,0.07943863365550112,0.10499139414802065,0.3374817953131206,0.1502714153316563,0.12524824573017343,,0.07334833840857938,0.07890904276446445,,0.19396266384218191,,0.18879915265457434,0.1431219383026612,0.09095723553554878,,0.1448431086985304,0.23646233284787502,0.07480471335893023,,,0.028597908115980404,0.07824705415066861,,,,0.19303587978286774,,,0.24175824175824176,,0.2810803654177148,,
2021-09-30,,0.08053954950235725,0.10555264536406496,0.1000523834468308,0.10542168674698796,0.251047668936616,0.48782084861183866,0.11170770036668413,0.858957569408067,0.1140649554740702,0.08328968046097433,,0.11877946568884233,1.0,0.19748559455212153,0.1571503404924044,0.15610267155578836,,0.26571503404924046,0.20914091147197486,0.059455212152959666,,,0.05605028810895757,0.08852802514405447,,,,0.17312729177579886,,1.0,0.09075432163436355,,0.26545311681508643,,
2021-12-31,,0.08106338397066527,0.11314824515453117,0.18124672603457306,0.14261393399685698,0.1179937139863803,0.2207962283918282,0.21320062860136196,0.11537454164484023,0.04858564693556836,0.10581456259821896,,0.07242011524358302,0.6170770036668413,0.2929544264012572,0.3335515976951283,0.3614457831325301,,0.4235201676270299,0.1317443687794657,0.043085385018334206,,,0.030775275013095862,0.047668936616029334,,,,0.15125720272393922,0.4345206914614982,0.6943425877422734,0.20508119434258773,,0.1394709271870089,,
2022-03-31,,0.028380187416331994,0.03975903614457831,0.02463186077643909,0.032396251673360105,0.18045515394912987,0.06037483266398929,0.043105756358768406,0.13828647925033466,0.030120481927710843,0.07710843373493977,0.10321285140562249,0.035609103078982594,0.0749665327978581,0.07108433734939759,0.06653279785809907,0.4572958500669344,,0.5174029451137885,0.11686746987951807,0.012449799196787148,,,0.02717536813922356,0.029585006693440427,0.08982597054886211,,,0.0393574297188755,0.03413654618473896,0.0965194109772423,0.06131191432396252,,0.1318607764390897,,
2022-06-30,,0.07348073613133854,0.10512379187077982,0.04435323712432146,0.11478882563219912,0.153184165232358,0.08936846286243877,0.14206275652058784,0.06288891831060506,0.12312988216602674,0.1556997219647822,0.07136237256719184,0.13531047265987026,0.2834635244273799,0.07440752019065272,0.05812260029127499,0.2845227062094532,0.672448033893817,0.267840593141798,0.061167747914735865,0.07440752019065272,,,0.04806037336157818,0.09850390573282139,0.08870647424864292,,,0.1410035747385145,0.10168145107904145,0.3311267046206805,0.09996028068317225,,0.19727260691116114,,
