Quarter,DWA price
2020-03-31,63.52547730573939
2020-06-30,30.234431738445714
2020-09-30,42.20927382710079
2020-12-31,29.992818698448097
2021-03-31,22.196926469479564
2021-06-30,48.22610538380456
2021-09-30,35.19436774624993
2021-12-31,20.14205789957289
2022-03-31,46.29169064943315
2022-06-30,197.97727307489296
2022-09-30,137.50450964861548
2022-12-31,44.65389421174618
2023-03-31,44.1973370217571
2023-06-30,51.55888842919443
2023-09-30,24.111994663402832
2023-12-31,23.379886784830813
2024-03-31,52.458047170789705
2024-06-30,88.73203818094841
2024-09-30,48.220952543403406
2024-12-31,39.42826669884834
