Quarter,LWA price
2020-03-31,111.02998262972093
2020-06-30,43.99367390507793
2020-09-30,54.983735034288486
2020-12-31,40.59331790516796
2021-03-31,27.18169407122323
2021-06-30,78.81795538969506
2021-09-30,65.57269262371351
2021-12-31,33.333832329168246
2022-03-31,64.76752032934033
2022-06-30,243.18805565975018
2022-09-30,213.4836979341775
2022-12-31,72.07945830075816
2023-03-31,64.87385962996235
2023-06-30,97.73794951853365
2023-09-30,60.52352820949231
2023-12-31,34.98691674000749
2024-03-31,70.49966011171946
2024-06-30,140.50678453626878
2024-09-30,130.04494061195876
2024-12-31,59.27827892124089
