Quarter,DWA price
2020-03-31,105.67209319288844
2020-06-30,36.694377599235565
2020-09-30,36.68734877925103
2020-12-31,69.02495012489128
2021-03-31,34.65051656436008
2021-06-30,49.31853393623939
2021-09-30,41.470584875436025
2021-12-31,49.262434480196575
2022-03-31,77.88621939698358
2022-06-30,210.47656667267245
2022-09-30,146.0503898535649
2022-12-31,63.79419311094494
2023-03-31,74.77568671936409
2023-06-30,76.89834168118743
2023-09-30,30.69211582938983
2023-12-31,42.28937003014166
2024-03-31,65.46116981707868
2024-06-30,81.17026021681686
2024-09-30,45.35391925923175
2024-12-31,88.3288816365722
