Region,Date,Spread type,Price spread,High start time,Low start time
NSW,2015-01-01,High-low perfect (2hr),273.2600404166667,,
NSW,2015-01-01,High-low contiguous (2hr),272.537105,15:25:00,04:50:00
NSW,2015-01-01,High-low perfect (4hr),241.7895052083333,,
NSW,2015-01-01,High-low contiguous (4hr),229.02725750000002,13:55:00,04:05:00
NSW,2015-01-01,Day-evening,46.52982347619046,,
NSW,2015-01-01,Overnight-morning,-5.434104907407409,,
NSW,2015-01-01,Evening price,149.00518383333332,,
NSW,2015-01-02,High-low perfect (2hr),271.6037766666667,,
NSW,2015-01-02,High-low contiguous (2hr),270.31578041666666,12:00:00,04:05:00
NSW,2015-01-02,High-low perfect (4hr),269.798169375,,
NSW,2015-01-02,High-low contiguous (4hr),239.93764583333336,11:20:00,01:55:00
NSW,2015-01-02,Day-evening,-152.38999471428576,,
NSW,2015-01-02,Overnight-morning,17.109986666666664,,
NSW,2015-01-02,Evening price,78.10656183333332,,
NSW,2015-01-03,High-low perfect (2hr),35.38722833333333,,
NSW,2015-01-03,High-low contiguous (2hr),30.944921249999997,14:50:00,04:25:00
NSW,2015-01-03,High-low perfect (4hr),26.659664375,,
NSW,2015-01-03,High-low contiguous (4hr),23.067676666666667,13:10:00,03:10:00
NSW,2015-01-03,Day-evening,2.4092728333333255,,
NSW,2015-01-03,Overnight-morning,2.5756638888888936,,
NSW,2015-01-03,Evening price,46.21717283333332,,
NSW,2015-01-04,High-low perfect (2hr),51.92085291666666,,
NSW,2015-01-04,High-low contiguous (2hr),43.806454583333334,11:45:00,04:30:00
NSW,2015-01-04,High-low perfect (4hr),37.09609125,,
NSW,2015-01-04,High-low contiguous (4hr),35.001055416666674,13:10:00,02:40:00
NSW,2015-01-04,Day-evening,-3.5981497380952447,,
NSW,2015-01-04,Overnight-morning,0.6032497222222233,,
NSW,2015-01-04,Evening price,41.0644105,,
NSW,2015-01-05,High-low perfect (2hr),27.871236249999992,,
NSW,2015-01-05,High-low contiguous (2hr),26.414746250000004,15:05:00,01:10:00
NSW,2015-01-05,High-low perfect (4hr),22.899829375000007,,
NSW,2015-01-05,High-low contiguous (4hr),21.46927916666667,13:30:00,01:10:00
NSW,2015-01-05,Day-evening,-3.2533035714285745,,
NSW,2015-01-05,Overnight-morning,7.295708148148151,,
NSW,2015-01-05,Evening price,38.37932083333333,,
NSW,2015-01-06,High-low perfect (2hr),57.856595,,
NSW,2015-01-06,High-low contiguous (2hr),51.710483749999995,14:40:00,01:50:00
NSW,2015-01-06,High-low perfect (4hr),46.406515416666664,,
NSW,2015-01-06,High-low contiguous (4hr),43.04543979166667,12:45:00,01:05:00
NSW,2015-01-06,Day-evening,-5.45636026190477,,
NSW,2015-01-06,Overnight-morning,8.448782314814814,,
NSW,2015-01-06,Evening price,49.73590449999999,,
NSW,2015-01-07,High-low perfect (2hr),196.13298083333336,,
NSW,2015-01-07,High-low contiguous (2hr),142.95062708333336,13:45:00,02:00:00
NSW,2015-01-07,High-low perfect (4hr),123.92085875000001,,
NSW,2015-01-07,High-low contiguous (4hr),109.64290020833332,11:45:00,00:00:00
NSW,2015-01-07,Day-evening,-53.54529333333332,,
NSW,2015-01-07,Overnight-morning,20.901885,,
NSW,2015-01-07,Evening price,56.17924166666667,,
NSW,2015-01-08,High-low perfect (2hr),60.15327333333333,,
NSW,2015-01-08,High-low contiguous (2hr),54.87062541666667,13:30:00,02:00:00
NSW,2015-01-08,High-low perfect (4hr),51.63508041666665,,
NSW,2015-01-08,High-low contiguous (4hr),46.871283958333336,11:30:00,01:40:00
NSW,2015-01-08,Day-evening,-23.324656190476176,,
NSW,2015-01-08,Overnight-morning,17.07915805555556,,
NSW,2015-01-08,Evening price,49.460589166666665,,
NSW,2015-01-09,High-low perfect (2hr),37.15513541666667,,
NSW,2015-01-09,High-low contiguous (2hr),31.752802916666667,10:40:00,21:35:00
NSW,2015-01-09,High-low perfect (4hr),31.868456458333334,,
NSW,2015-01-09,High-low contiguous (4hr),29.15969229166666,10:45:00,20:00:00
NSW,2015-01-09,Day-evening,-20.2245970238095,,
NSW,2015-01-09,Overnight-morning,11.8836938888889,,
NSW,2015-01-09,Evening price,33.90873916666667,,
NSW,2015-01-10,High-low perfect (2hr),13.86972916666667,,
NSW,2015-01-10,High-low contiguous (2hr),11.69325666666667,12:15:00,04:40:00
NSW,2015-01-10,High-low perfect (4hr),11.268477708333332,,
NSW,2015-01-10,High-low contiguous (4hr),9.180558124999997,12:00:00,02:40:00
NSW,2015-01-10,Day-evening,-1.5184303333333382,,
NSW,2015-01-10,Overnight-morning,1.8290893518518558,,
NSW,2015-01-10,Evening price,29.756993833333336,,
NSW,2015-01-11,High-low perfect (2hr),14.019004999999996,,
NSW,2015-01-11,High-low contiguous (2hr),10.172008333333334,07:50:00,04:15:00
NSW,2015-01-11,High-low perfect (4hr),11.620907708333334,,
NSW,2015-01-11,High-low contiguous (4hr),8.430271875000003,16:50:00,02:40:00
NSW,2015-01-11,Day-evening,0.45098997619047054,,
NSW,2015-01-11,Overnight-morning,2.4975593518518515,,
NSW,2015-01-11,Evening price,28.864562,,
NSW,2015-01-12,High-low perfect (2hr),24.964262916666666,,
NSW,2015-01-12,High-low contiguous (2hr),23.753252083333333,14:45:00,01:40:00
NSW,2015-01-12,High-low perfect (4hr),20.746315833333338,,
NSW,2015-01-12,High-low contiguous (4hr),20.046718958333333,13:30:00,00:15:00
NSW,2015-01-12,Day-evening,0.034970119047613935,,
NSW,2015-01-12,Overnight-morning,9.097347592592591,,
NSW,2015-01-12,Evening price,38.7532375,,
NSW,2015-01-13,High-low perfect (2hr),13.741529583333335,,
NSW,2015-01-13,High-low contiguous (2hr),10.021017916666661,14:05:00,01:20:00
NSW,2015-01-13,High-low perfect (4hr),11.701676458333331,,
NSW,2015-01-13,High-low contiguous (4hr),8.622474583333336,08:05:00,00:55:00
NSW,2015-01-13,Day-evening,-3.9624205714285736,,
NSW,2015-01-13,Overnight-morning,6.780936296296289,,
NSW,2015-01-13,Evening price,32.925898,,
NSW,2015-01-14,High-low perfect (2hr),23.133009583333337,,
NSW,2015-01-14,High-low contiguous (2hr),19.039762916666664,18:35:00,01:30:00
NSW,2015-01-14,High-low perfect (4hr),19.238999791666664,,
NSW,2015-01-14,High-low contiguous (4hr),15.68849687500001,06:40:00,01:10:00
NSW,2015-01-14,Day-evening,0.5426412619047696,,
NSW,2015-01-14,Overnight-morning,11.226854629629646,,
NSW,2015-01-14,Evening price,36.25983316666667,,
NSW,2015-01-15,High-low perfect (2hr),22.845665000000004,,
NSW,2015-01-15,High-low contiguous (2hr),20.550702916666662,07:10:00,02:10:00
NSW,2015-01-15,High-low perfect (4hr),19.18158916666667,,
NSW,2015-01-15,High-low contiguous (4hr),17.72081979166666,07:10:00,00:50:00
NSW,2015-01-15,Day-evening,-0.7843708095238,,
NSW,2015-01-15,Overnight-morning,10.762472222222232,,
NSW,2015-01-15,Evening price,35.37227716666667,,
NSW,2015-01-16,High-low perfect (2hr),20.231329583333334,,
NSW,2015-01-16,High-low contiguous (2hr),17.62827166666667,15:10:00,02:10:00
NSW,2015-01-16,High-low perfect (4hr),15.4297975,,
NSW,2015-01-16,High-low contiguous (4hr),13.953935624999996,13:50:00,01:20:00
NSW,2015-01-16,Day-evening,2.2255023571428616,,
NSW,2015-01-16,Overnight-morning,5.437545925925928,,
NSW,2015-01-16,Evening price,32.960717833333334,,
NSW,2015-01-17,High-low perfect (2hr),32.53360416666666,,
NSW,2015-01-17,High-low contiguous (2hr),23.799306666666666,21:35:00,02:35:00
NSW,2015-01-17,High-low perfect (4hr),24.593858125000004,,
NSW,2015-01-17,High-low contiguous (4hr),19.688659375,19:35:00,01:30:00
NSW,2015-01-17,Day-evening,5.561335476190472,,
NSW,2015-01-17,Overnight-morning,-1.6135568518518575,,
NSW,2015-01-17,Evening price,35.10446583333333,,
NSW,2015-01-18,High-low perfect (2hr),22.049250833333335,,
NSW,2015-01-18,High-low contiguous (2hr),19.859284583333338,19:20:00,04:35:00
NSW,2015-01-18,High-low perfect (4hr),19.24765041666667,,
NSW,2015-01-18,High-low contiguous (4hr),16.731488958333333,16:50:00,02:20:00
NSW,2015-01-18,Day-evening,3.754824190476185,,
NSW,2015-01-18,Overnight-morning,0.5476549074074057,,
NSW,2015-01-18,Evening price,36.09270133333333,,
NSW,2015-01-19,High-low perfect (2hr),15.244750833333331,,
NSW,2015-01-19,High-low contiguous (2hr),13.840521666666667,06:40:00,02:00:00
NSW,2015-01-19,High-low perfect (4hr),12.540303958333329,,
NSW,2015-01-19,High-low contiguous (4hr),11.102759166666669,06:50:00,00:50:00
NSW,2015-01-19,Day-evening,-2.9140286666666597,,
NSW,2015-01-19,Overnight-morning,8.569348240740737,,
NSW,2015-01-19,Evening price,30.281398000000003,,
NSW,2015-01-20,High-low perfect (2hr),12.602421250000003,,
NSW,2015-01-20,High-low contiguous (2hr),11.532803333333334,14:30:00,01:35:00
NSW,2015-01-20,High-low perfect (4hr),10.999570208333338,,
NSW,2015-01-20,High-low contiguous (4hr),10.559258958333338,13:00:00,01:00:00
NSW,2015-01-20,Day-evening,-1.1707135238095212,,
NSW,2015-01-20,Overnight-morning,5.457196574074068,,
NSW,2015-01-20,Evening price,27.685074333333336,,
NSW,2015-01-21,High-low perfect (2hr),23.022435833333336,,
NSW,2015-01-21,High-low contiguous (2hr),22.820526666666666,12:55:00,01:55:00
NSW,2015-01-21,High-low perfect (4hr),19.61711645833333,,
NSW,2015-01-21,High-low contiguous (4hr),19.248228750000003,12:35:00,00:50:00
NSW,2015-01-21,Day-evening,-4.5586481428571375,,
NSW,2015-01-21,Overnight-morning,6.957230555555565,,
NSW,2015-01-21,Evening price,33.834779,,
NSW,2015-01-22,High-low perfect (2hr),26.92906791666667,,
NSW,2015-01-22,High-low contiguous (2hr),25.177241249999994,13:00:00,01:55:00
NSW,2015-01-22,High-low perfect (4hr),21.893175208333332,,
NSW,2015-01-22,High-low contiguous (4hr),21.00770791666667,12:55:00,01:10:00
NSW,2015-01-22,Day-evening,-5.76921454761905,,
NSW,2015-01-22,Overnight-morning,7.560266388888881,,
NSW,2015-01-22,Evening price,37.33505116666666,,
NSW,2015-01-23,High-low perfect (2hr),97.94315875000001,,
NSW,2015-01-23,High-low contiguous (2hr),91.76342291666666,14:00:00,01:50:00
NSW,2015-01-23,High-low perfect (4hr),62.85574270833334,,
NSW,2015-01-23,High-low contiguous (4hr),61.44207479166667,12:00:00,01:10:00
NSW,2015-01-23,Day-evening,-31.652845500000005,,
