Time of day,Solar,Wind
0,0.18664482028826856,329.8816561403029
1,0.17696337575259988,327.33249891397554
2,0.1860596164021164,324.34680314130634
3,0.19734420406860065,320.4316950433315
4,0.18414318874293012,316.7804326094691
5,0.19724594325852948,311.59657563993795
6,0.19802253831417627,307.212771600073
7,0.20484519613209268,303.97877519978107
8,0.18538616447728518,301.0856050027367
9,0.21056360837438426,297.71641772076265
10,3.183729687100894,293.79320374156174
11,36.1965058821383,289.82848728334244
12,147.2124609966247,286.2832239449918
13,350.84233396460496,275.48498058201056
14,639.01315831372,259.3144439527458
15,919.3289257338988,240.9893790873016
16,1113.1516735335706,223.82601719303048
17,1195.764052981208,206.76133497947453
18,1250.2493128407225,193.09488558565957
19,1273.9822462023353,178.86809948184637
20,1282.5833871620143,167.55311712370005
21,1285.851306159916,157.0811425994344
22,1282.9948789249224,146.22476413336983
23,1281.002154789272,137.31037231527094
24,1272.225361871465,131.89020966201423
25,1263.0345362242292,128.50496123700054
26,1260.3687477394635,126.96971237593505
27,1254.4794212972085,128.73520234811167
28,1242.960704126072,131.917518892994
29,1222.2828997514139,135.40213808748405
30,1175.2777541133005,139.49375363619777
31,1092.5107013711001,146.65172604269293
32,932.2186557580733,153.70031895685094
33,682.3876967095421,160.8434554251049
34,385.68842782247765,170.34347690886702
35,153.34007119184454,183.85550253785806
36,35.855201626984126,202.89838012269658
37,2.4153006650246307,226.60313765508116
38,0.34082964194490056,250.47841605363985
39,0.256070203430031,271.8673297500456
40,0.26727619731800767,291.29509035942345
41,0.23906216201423097,305.5272112675607
42,0.19911214650611203,317.7546158068783
43,0.19334453156358328,326.63721528598796
44,0.19033777640941432,329.10895134920634
45,0.18910128671775223,330.1128651993249
46,0.16741452244116037,331.03923963829595
47,0.18242030423280425,331.0994983830505
