Year,0–3%,3–5%,5–7%,7–10%,10% or more
2020,554.0,64.0,18.0,1.0,0.0
2021,1521.0,80.0,26.0,22.0,12.0
2022,2425.0,163.0,51.0,26.0,19.0
2023,3209.0,294.0,106.0,63.0,34.0
2024,3730.0,320.0,97.0,45.0,22.0
2025,3729.0,203.0,47.0,29.0,11.0
2026,3026.0,18.0,6.0,6.0,2.0
2027,2024.0,10.0,1.0,1.0,0.0
2028,1007.0,4.0,3.0,0.0,2.0
2029,123.0,1.0,0.0,0.0,0.0
