Year,0–3%,3–5%,5–7%,7–10%,10% or more
2020,467.0,46.0,25.0,27.0,72.0
2021,881.0,104.0,51.0,56.0,103.0
2022,1062.0,116.0,89.0,58.0,111.0
2023,1770.0,251.0,153.0,123.0,161.0
2024,2848.0,253.0,138.0,104.0,137.0
2025,3617.0,221.0,68.0,47.0,66.0
2026,2808.0,137.0,49.0,40.0,24.0
2027,1951.0,51.0,14.0,11.0,9.0
2028,975.0,20.0,3.0,8.0,10.0
2029,119.0,2.0,1.0,2.0,0.0
