DUID,Region,Capacity factor
BANGOWF1,NSW,0.16839164949319407
BANGOWF2,NSW,0.20709442621056753
BOCORWF1,NSW,0.3257800024979024
BODWF1,NSW,0.3312265871194128
COLWF01,NSW,0.24593461751954898
CROOKWF2,NSW,0.31598309547670256
CROOKWF3,NSW,0.09810496910411155
CRURWF1,NSW,0.26400740001226325
FLYCRKWF,NSW,0.13743684198288691
GULLRWF1,NSW,0.32240010459481144
GULLRWF2,NSW,0.27069643426792817
GUNNING1,NSW,0.36418120868363274
RYEPARK1,NSW,0.22311709205614572
SAPHWF1,NSW,0.32647598798148936
STWF1,NSW,0.37662609710986206
TARALGA1,NSW,0.2944510599376893
WOODLWN1,NSW,0.3315297513975441
WRWF1,NSW,0.32265840477187135
CLRKCWF1,QLD,0.0027080762953260147
COOPGWF1,QLD,0.32537779301144654
DULAWF1,QLD,0.3313735533052835
KABANWF1,QLD,0.24572581006379424
KEPWF1,QLD,0.30685090054699077
MEWF1,QLD,0.2757686550194979
BLUFF1,SA,0.26866920477232525
CATHROCK,SA,0.25150686533567285
CLEMGPWF,SA,0.33216374397823395
CNUNDAWF,SA,0.2487459815557504
GSWF1A,SA,0.0558539101710455
GSWF1B1,SA,0.001590359780800629
HALLWF1,SA,0.3216921130169173
HALLWF2,SA,0.3324347683529605
HDWF1,SA,0.39336966792433503
HDWF2,SA,0.3702630627213902
HDWF3,SA,0.3704979576050215
LGAPWF1,SA,0.359292155451618
LGAPWF2,SA,0.3441193271209928
LKBONNY1,SA,0.19973370795438805
LKBONNY2,SA,0.2302384837175867
LKBONNY3,SA,0.22091778281874486
MTMILLAR,SA,0.2329376749629723
NBHWF1,SA,0.3361827111655174
PAREPW1,SA,0.30145931739462073
SNOWNTH1,SA,0.33002602498868144
SNOWSTH1,SA,0.3721190005023668
SNOWTWN1,SA,0.34780389366587483
STARHLWF,SA,0.2520746241630337
WATERLWF,SA,0.304014656753049
WGWF1,SA,0.3357944192739356
WPWF,SA,0.2895132866495069
ARWF1,VIC,0.23884259094542276
BALDHWF1,VIC,0.3631253533370067
BRYB1WF1,VIC,0.35217904495793373
BRYB2WF2,VIC,0.24091532184626244
BULGANA1,VIC,0.2507652168487028
CHYTWF1,VIC,0.3474623468483844
CROWLWF1,VIC,0.36782107107397094
DUNDWF1,VIC,0.30682971206081344
DUNDWF2,VIC,0.30184952238996815
DUNDWF3,VIC,0.3323837677742627
ELAINWF1,VIC,0.24853682237145483
GPWFEST1,VIC,3.174854542042042e-06
GPWFEST2,VIC,0.018691342612838877
GPWFEST3,VIC,0.0
HD1WF1,VIC,0.26222715424941206
KIATAWF1,VIC,0.43397879836662034
MACARTH1,VIC,0.18680236341947778
MERCER01,VIC,0.2736037287778176
MOORAWF1,VIC,0.21869266700634224
MRTLSWF1,VIC,0.18053704638432927
MTGELWF1,VIC,0.2500098558689574
MUWAWF1,VIC,0.29769775516823266
MUWAWF2,VIC,0.27106202881166686
OAKLAND1,VIC,0.3043123993875789
RYANCWF1,VIC,0.1927595998371798
SALTCRK1,VIC,0.3039332025525609
STOCKYD1,VIC,0.31574399269955433
YENDWF1,VIC,0.25993152633720856
