Year,0–3%,3–5%,5–7%,7–10%,10% or more
2020,510.0,24.0,29.0,12.0,62.0
2021,937.0,60.0,48.0,48.0,102.0
2022,1084.0,94.0,84.0,50.0,124.0
2023,2038.0,116.0,86.0,70.0,148.0
2024,2917.0,176.0,130.0,99.0,158.0
2025,3563.0,166.0,93.0,75.0,122.0
2026,2813.0,122.0,36.0,34.0,53.0
2027,1905.0,25.0,39.0,34.0,33.0
2028,951.0,25.0,15.0,12.0,13.0
2029,123.0,1.0,0.0,0.0,0.0
