Quarter,DWA price
2020-03-31,50.3620070884252
2020-06-30,22.949882522338793
2020-09-30,15.407423619294645
2020-12-31,38.798343883787936
2021-03-31,33.73162079161556
2021-06-30,54.09290967357464
2021-09-30,37.19291616810817
2021-12-31,66.14567124368477
2022-03-31,105.19759224921228
2022-06-30,202.03916766555113
2022-09-30,99.6860289570359
2022-12-31,57.93083089403331
2023-03-31,62.60322005500316
2023-06-30,46.04196650546783
2023-09-30,2.612134955512771
2023-12-31,21.678171167634375
2024-03-31,59.71668785093594
2024-06-30,32.23264012849299
2024-09-30,16.532691968112236
2024-12-31,43.11131012758156
