Time of day,Total demand
0,7382.031954935232
1,7194.428731983216
2,6971.66048166393
3,6761.708933588761
4,6579.566380222587
5,6450.928215654078
6,6385.306247035212
7,6373.365628534939
8,6455.292670133187
9,6568.990207079
10,6832.597729428937
11,7084.738128991061
12,7415.171729611385
13,7681.912153804051
14,7827.400295566503
15,7838.813835066594
16,7758.892541507025
17,7559.690920452473
18,7385.985882138296
19,7190.991645685094
20,7043.767338076994
21,6916.259969896005
22,6819.097672869914
23,6773.122075351213
24,6766.846922094508
25,6788.420456121146
26,6849.336699507389
27,6951.678078817734
28,7094.297164750958
29,7318.163192848021
30,7586.184946177705
31,7930.53982484948
32,8282.511513409961
33,8685.669303959132
34,9001.061721401204
35,9286.190706987776
36,9328.18308155446
37,9251.999935230799
38,9088.463060572887
39,8920.306792556103
40,8730.375794563035
41,8515.763038679073
42,8337.312651888342
43,8137.672848020435
44,8030.969290275497
45,7845.115726144864
46,7686.003334245575
47,7558.200622149243
