Quarter,Solar,Wind
2020-03-31,219.60995832570208,446.3129391842186
2020-06-30,151.52618673782814,440.7832378537088
2020-09-30,206.31642603600542,521.5782288556763
2020-12-31,352.3972208274834,471.8819992223354
2021-03-31,388.52467380227625,539.5357324000771
2021-06-30,290.412920409417,490.02575257345086
2021-09-30,331.4004968923611,654.8555154670516
2021-12-31,536.1771942672478,564.0688905453653
2022-03-31,688.1061366317515,607.1245528130787
2022-06-30,403.34185417219936,652.6953276100809
2022-09-30,455.5571150249095,714.1090107023701
2022-12-31,707.0114491453427,624.4445180080012
2023-03-31,809.2203352314815,611.0418573317901
2023-06-30,477.8024826385073,618.650510285409
2023-09-30,677.0608953321256,583.3940974699955
2023-12-31,911.3822437196181,643.4635519695426
2024-03-31,988.1980357354624,683.6378457331731
2024-06-30,588.814422145528,592.1332269570361
2024-09-30,601.5312833325785,866.1191416215655
2024-12-31,1013.6466913690746,691.3297174039477
