Time of day,Total demand
0,1460.5143358876119
1,1442.3582886334611
2,1384.1765955117678
3,1332.3627020616675
4,1290.4214668856048
5,1259.0322422915526
6,1230.4929428936325
7,1213.470172413793
8,1205.8509304871375
9,1214.6878115307425
10,1228.9922176610107
11,1267.9866292647328
12,1305.0155327494983
13,1357.0784181718664
14,1371.575779054917
15,1363.54326035395
16,1327.3786051815362
17,1256.2203858784892
18,1160.1617797847107
19,1071.341351943076
20,998.8868235723407
21,942.087096332786
22,888.1555500821019
23,850.2721848202882
24,823.3645374931582
25,812.6346560846561
26,807.9082503192848
27,819.2128261266192
28,843.080228060573
29,887.2152773216566
30,951.3039326765189
31,1032.9133634373288
32,1139.454997263273
33,1264.5502371829957
34,1409.3722915526364
35,1543.3703293194674
36,1654.0799324940704
37,1708.340646779785
38,1718.3053767560664
39,1698.599533844189
40,1669.4677513227512
41,1629.7367378215656
42,1582.0373481116585
43,1527.1126327312534
44,1469.2638688195584
45,1416.9198522167487
46,1380.9564075898559
47,1483.257168399927
