Technology,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind
DUID,AVLSF1,BERYLSF1,BOMENSF1,BROKENH1,COLEASF1,CRWASF1,DARLSF1,FINLYSF1,GNNDHSF1,GOONSF1,GULLRSF1,HILLSTN1,JEMALNG1,JUNEESF1,LIMOSF11,LIMOSF21,MANSLR1,METZSF1,MOLNGSF1,MOREESF1,NEVERSF1,NEWENSF1,NEWENSF2,NYNGAN1,PARSF1,SEBSF1,STUBSF1,STUBSF2,SUNRSF1,SUNTPSF1,WAGGNSF1,WELLSF1,WELNSF1,WRSF1,WSTWYSF1,WYASF1,BANGOWF1,BANGOWF2,BOCORWF1,BODWF1,COLWF01,CROOKWF2,CROOKWF3,CRURWF1,FLYCRKWF,GULLRWF1,GULLRWF2,GUNNING1,RYEPARK1,SAPHWF1,STWF1,TARALGA1,WOODLWN1,WRWF1
Week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-05,,541.6775302104757,,52.092939060236446,134.2096281240305,,,170.4392277996116,,,194.61794038749596,,,,,59.92671936905729,537.7772820895417,,,503.6781417736734,558.192561633669,,,342.36608847176603,431.0403933672379,,,,,,,,,244.3389018036945,,,,,717.2145968027769,153.6452495141971,,425.8499740316974,,,,275.8649287124128,,157.6457265268738,,79.4603299482412,46.782160093841426,403.887431015754,340.9137415299399,117.264134333418
2020-01-12,,49.84576987657805,,50.596146010302235,50.81520207458907,,,50.27462214120768,,,51.63289152166179,,,,,52.71559171986422,49.93155683572849,,,51.043694927873815,50.69087125679708,,,49.972887607038615,50.02173912107859,,,,,,,,,50.06613655060989,,,,,52.059790577306394,47.25295825431098,,49.37823982825565,,,,48.859920159927704,,48.53881140002477,,46.14128761758038,47.47041917008762,50.942024267626486,51.326878337516284,46.40587239328364
2020-01-19,,48.547438642808956,,50.11309884652437,49.27006829609735,,,48.71987025039822,,,51.30462130387628,,,,,53.955347129698985,50.34566403112185,,,51.74915921881767,50.06826863879849,,,49.51697473884441,49.54735331437919,,,,,,,,,51.04446385933286,,,,,51.45757406102332,47.22818639664905,,48.38013510573437,,,,47.294813327491724,,47.89074423894718,,47.41589692823744,47.32215586257323,47.44023407798987,48.778927860254754,47.3190959666413
2020-01-26,,72.91290203557283,,100.92213411917238,94.85093325437677,,,82.71238435106982,,,64.26334277672535,,,,,68.63408456094676,64.43018469586295,,,75.23009661786907,89.97940117567622,,,72.2133813505634,69.17393684322978,,,,,,,,,90.03680588645715,,,,,65.75432469503339,102.82856803606056,,59.55174541020171,,,,60.21627581952203,,100.4563552552317,,91.92889460725131,72.73580608869182,98.35562072899528,95.5919263143959,94.1946619464441
2020-02-02,,337.28925730411027,,464.1032716478397,546.2149247798351,,,408.3307546544736,,,342.1470551367172,,,,,402.95468735469547,490.2275824730881,,,476.76641223514025,618.8269295573205,,,422.21422170548493,461.9024000128928,,,,,,,,,331.1004712261168,,,,,257.7330945079807,76.62263175558307,,124.51186848227603,,,,137.54673811513894,,120.64193653317164,,172.37678586523845,249.58880069051187,149.76427980319545,155.21488852888433,272.62071240473597
2020-02-09,,44.730831709694954,,43.983047202253125,45.923915953991354,,,45.396508176707144,,,44.30827491105233,,,,,45.09499600487887,45.29872399135096,,,42.478180567563044,44.84862771093772,,,43.546964028653136,45.54318843843698,,,,,,,,,43.53114899020765,,,,,39.58456955309334,40.509498017053566,,39.93022658608445,,,,39.648056327296715,,40.39809394962685,,41.802940946788155,38.54732876401575,39.39239895872269,40.22641102837717,42.07581704182015
2020-02-16,,60.578127448549836,,62.05941214255653,61.27362703339752,,,62.30682581706281,,,61.57259771135677,,,,,62.37019843117916,60.88961069286453,,,58.38085394948585,61.70414414958515,,,61.26649662086771,60.8859250192703,,,,,,,,,58.12762425145464,,,,,60.86371335798015,57.1962471552902,,62.61998522453118,,,,62.27832822495127,,62.21262597322798,,55.71055032912238,55.12787105249514,63.427096459851285,60.93571497454362,60.03485138692765
2020-02-23,,54.92775273993958,,58.94677988120001,57.900490452997595,,,58.20566405937144,,,57.91328750940981,,,,,47.17005354850773,57.344608503310994,,,60.36755287398207,57.4279301746551,,,58.70604312540099,59.14078774185227,,,,,,,,,58.68722957738352,,,,,59.28203637762169,54.35548665604334,,55.03799715919802,,,,54.04105547813994,,53.544988944647834,,50.24392135500449,52.524959819845414,55.975592657585004,55.11580628290904,50.71866727409822
