Time of day,Total demand
0,4586.00833607006
1,4442.737360883051
2,4321.426405765371
3,4174.903235723408
4,4073.834261083744
5,4002.6705418719207
6,3974.9294426199594
7,3972.5408711913888
8,4028.2989965334796
9,4107.3607270571065
10,4288.449447181171
11,4472.717541507024
12,4748.039483670863
13,4950.450116767013
14,5025.759777412881
15,5071.510985221675
16,5059.753054187192
17,4938.383416347382
18,4809.24636927568
19,4641.135608465608
20,4503.220404123335
21,4382.987522349936
22,4296.247695675972
23,4237.700879401569
24,4211.329372377303
25,4202.134694398833
26,4232.090319284802
27,4276.411066411239
28,4340.646671227878
29,4452.47875387703
30,4612.237810618501
31,4825.287048896187
32,5066.857254150702
33,5348.7168728334245
34,5596.670212552453
35,5817.609604999088
36,5892.717219485495
37,5878.015496259806
38,5795.15055738004
39,5692.397713920817
40,5548.169352307973
41,5381.344251049079
42,5210.521828133552
43,5022.176851851852
44,4844.855969713556
45,4720.068464696223
46,4835.145279146141
47,4766.078594234628
