Date	Base future	Cap	Peak	Average rate option	Swaption	Total
3/01/2017	 62 	 17 	 1 	 13 	 47 	 141 
4/01/2017	 62 	 17 	 1 	 13 	 47 	 142 
5/01/2017	 62 	 17 	 1 	 10 	 48 	 139 
6/01/2017	 62 	 17 	 1 	 7 	 48 	 136 
9/01/2017	 62 	 17 	 1 	 7 	 48 	 136 
10/01/2017	 62 	 17 	 1 	 7 	 49 	 136 
11/01/2017	 62 	 17 	 1 	 7 	 49 	 137 
12/01/2017	 63 	 17 	 1 	 7 	 49 	 137 
13/01/2017	 63 	 18 	 1 	 7 	 49 	 138 
16/01/2017	 64 	 18 	 1 	 7 	 49 	 139 
17/01/2017	 65 	 18 	 1 	 7 	 50 	 141 
18/01/2017	 65 	 18 	 1 	 7 	 50 	 141 
19/01/2017	 65 	 18 	 1 	 7 	 51 	 143 
20/01/2017	 66 	 18 	 1 	 7 	 52 	 143 
23/01/2017	 66 	 18 	 1 	 7 	 52 	 144 
24/01/2017	 66 	 18 	 1 	 8 	 52 	 145 
25/01/2017	 66 	 18 	 1 	 8 	 53 	 146 
27/01/2017	 66 	 18 	 2 	 8 	 53 	 147 
30/01/2017	 66 	 18 	 2 	 8 	 53 	 147 
31/01/2017	 66 	 18 	 2 	 8 	 54 	 148 
1/02/2017	 67 	 18 	 2 	 8 	 56 	 151 
2/02/2017	 69 	 18 	 2 	 8 	 57 	 154 
3/02/2017	 69 	 18 	 2 	 8 	 57 	 154 
6/02/2017	 69 	 18 	 2 	 8 	 57 	 155 
7/02/2017	 70 	 18 	 2 	 8 	 58 	 156 
8/02/2017	 70 	 19 	 2 	 8 	 59 	 157 
9/02/2017	 70 	 18 	 2 	 8 	 59 	 157 
10/02/2017	 70 	 19 	 2 	 8 	 60 	 158 
13/02/2017	 70 	 19 	 2 	 8 	 60 	 158 
14/02/2017	 71 	 19 	 2 	 8 	 60 	 159 
15/02/2017	 71 	 19 	 2 	 8 	 60 	 160 
16/02/2017	 71 	 19 	 2 	 8 	 62 	 162 
17/02/2017	 72 	 19 	 2 	 8 	 63 	 164 
20/02/2017	 72 	 19 	 2 	 8 	 63 	 164 
21/02/2017	 73 	 19 	 2 	 8 	 64 	 166 
22/02/2017	 72 	 19 	 2 	 8 	 64 	 165 
23/02/2017	 72 	 19 	 2 	 8 	 64 	 165 
24/02/2017	 71 	 19 	 2 	 8 	 64 	 165 
27/02/2017	 71 	 19 	 2 	 8 	 64 	 165 
28/02/2017	 71 	 19 	 2 	 8 	 65 	 165 
1/03/2017	 71 	 20 	 2 	 8 	 65 	 165 
2/03/2017	 71 	 20 	 2 	 8 	 65 	 165 
3/03/2017	 71 	 20 	 2 	 8 	 65 	 166 
6/03/2017	 71 	 20 	 2 	 8 	 65 	 166 
7/03/2017	 71 	 20 	 2 	 9 	 65 	 167 
8/03/2017	 71 	 20 	 2 	 9 	 66 	 168 
9/03/2017	 71 	 20 	 2 	 9 	 66 	 168 
10/03/2017	 72 	 20 	 2 	 9 	 67 	 170 
13/03/2017	 72 	 20 	 2 	 9 	 68 	 170 
14/03/2017	 72 	 20 	 2 	 9 	 68 	 171 
15/03/2017	 72 	 20 	 2 	 9 	 68 	 170 
16/03/2017	 72 	 20 	 2 	 9 	 68 	 171 
17/03/2017	 72 	 20 	 2 	 9 	 68 	 171 
20/03/2017	 73 	 20 	 2 	 9 	 69 	 173 
21/03/2017	 73 	 20 	 2 	 9 	 69 	 173 
22/03/2017	 73 	 20 	 2 	 9 	 69 	 173 
23/03/2017	 73 	 20 	 2 	 9 	 69 	 174 
24/03/2017	 73 	 20 	 2 	 9 	 69 	 175 
27/03/2017	 74 	 21 	 2 	 9 	 69 	 175 
28/03/2017	 73 	 21 	 2 	 9 	 69 	 175 
29/03/2017	 73 	 21 	 2 	 9 	 69 	 175 
30/03/2017	 73 	 21 	 2 	 10 	 69 	 175 
31/03/2017	 73 	 21 	 2 	 10 	 70 	 176 
3/04/2017	 61 	 17 	 2 	 10 	 70 	 160 
4/04/2017	 61 	 18 	 2 	 10 	 71 	 161 
5/04/2017	 61 	 18 	 2 	 8 	 70 	 159 
6/04/2017	 61 	 18 	 2 	 5 	 70 	 156 
7/04/2017	 61 	 18 	 2 	 6 	 71 	 158 
10/04/2017	 61 	 18 	 2 	 6 	 71 	 158 
11/04/2017	 61 	 18 	 2 	 7 	 71 	 158 
12/04/2017	 61 	 18 	 2 	 7 	 72 	 159 
13/04/2017	 62 	 18 	 2 	 7 	 72 	 160 
18/04/2017	 62 	 18 	 2 	 7 	 72 	 160 
19/04/2017	 63 	 18 	 2 	 7 	 72 	 161 
20/04/2017	 63 	 18 	 2 	 7 	 73 	 163 
21/04/2017	 64 	 18 	 2 	 7 	 74 	 165 
24/04/2017	 63 	 18 	 2 	 7 	 74 	 164 
26/04/2017	 63 	 18 	 2 	 7 	 74 	 165 
27/04/2017	 63 	 18 	 2 	 7 	 75 	 166 
28/04/2017	 63 	 19 	 2 	 7 	 75 	 166 
1/05/2017	 63 	 19 	 2 	 7 	 75 	 166 
2/05/2017	 64 	 18 	 2 	 7 	 75 	 166 
3/05/2017	 64 	 19 	 2 	 8 	 76 	 168 
4/05/2017	 64 	 19 	 2 	 8 	 77 	 169 
5/05/2017	 64 	 19 	 2 	 8 	 77 	 169 
8/05/2017	 64 	 19 	 2 	 9 	 77 	 170 
9/05/2017	 65 	 19 	 2 	 9 	 77 	 171 
10/05/2017	 65 	 19 	 2 	 9 	 77 	 172 
11/05/2017	 65 	 19 	 2 	 9 	 78 	 173 
12/05/2017	 65 	 19 	 2 	 9 	 78 	 174 
15/05/2017	 65 	 19 	 2 	 9 	 77 	 173 
16/05/2017	 66 	 19 	 2 	 9 	 77 	 173 
17/05/2017	 66 	 19 	 2 	 9 	 77 	 173 
18/05/2017	 66 	 19 	 2 	 9 	 77 	 173 
19/05/2017	 67 	 19 	 2 	 9 	 66 	 163 
22/05/2017	 67 	 19 	 2 	 9 	 51 	 149 
23/05/2017	 67 	 19 	 2 	 9 	 51 	 149 
24/05/2017	 68 	 19 	 2 	 9 	 52 	 149 
25/05/2017	 68 	 19 	 2 	 9 	 52 	 150 
26/05/2017	 68 	 19 	 2 	 9 	 52 	 150 
29/05/2017	 68 	 19 	 2 	 9 	 52 	 150 
30/05/2017	 68 	 19 	 2 	 9 	 52 	 151 
31/05/2017	 68 	 20 	 2 	 10 	 52 	 151 
1/06/2017	 68 	 20 	 2 	 10 	 52 	 151 
2/06/2017	 68 	 20 	 2 	 10 	 52 	 151 
5/06/2017	 68 	 20 	 2 	 10 	 53 	 152 
6/06/2017	 68 	 20 	 2 	 10 	 53 	 152 
7/06/2017	 68 	 20 	 2 	 10 	 53 	 153 
8/06/2017	 68 	 20 	 2 	 10 	 54 	 154 
9/06/2017	 68 	 20 	 2 	 10 	 55 	 154 
13/06/2017	 68 	 20 	 2 	 10 	 55 	 155 
14/06/2017	 68 	 20 	 2 	 10 	 55 	 155 
15/06/2017	 68 	 20 	 2 	 10 	 55 	 155 
16/06/2017	 68 	 20 	 2 	 10 	 55 	 155 
19/06/2017	 68 	 20 	 2 	 10 	 55 	 156 
20/06/2017	 68 	 20 	 2 	 10 	 55 	 156 
21/06/2017	 68 	 20 	 2 	 10 	 55 	 156 
22/06/2017	 69 	 20 	 2 	 10 	 56 	 157 
23/06/2017	 69 	 20 	 2 	 10 	 56 	 158 
26/06/2017	 69 	 20 	 2 	 10 	 56 	 157 
27/06/2017	 69 	 20 	 2 	 10 	 56 	 157 
28/06/2017	 69 	 20 	 2 	 10 	 56 	 158 
29/06/2017	 69 	 20 	 2 	 10 	 56 	 158 
30/06/2017	 69 	 20 	 2 	 10 	 56 	 158 
3/07/2017	 59 	 17 	 2 	 10 	 56 	 144 
4/07/2017	 59 	 17 	 2 	 10 	 57 	 146 
5/07/2017	 60 	 17 	 2 	 8 	 57 	 144 
6/07/2017	 60 	 17 	 2 	 7 	 58 	 143 
7/07/2017	 60 	 17 	 2 	 7 	 58 	 143 
10/07/2017	 60 	 17 	 2 	 7 	 58 	 144 
11/07/2017	 60 	 17 	 2 	 7 	 59 	 146 
12/07/2017	 60 	 17 	 2 	 7 	 60 	 146 
13/07/2017	 60 	 17 	 2 	 7 	 60 	 146 
14/07/2017	 61 	 17 	 2 	 7 	 60 	 146 
17/07/2017	 60 	 17 	 2 	 7 	 60 	 146 
18/07/2017	 61 	 17 	 2 	 7 	 60 	 147 
19/07/2017	 61 	 18 	 2 	 7 	 60 	 147 
20/07/2017	 61 	 18 	 2 	 7 	 60 	 147 
21/07/2017	 61 	 18 	 2 	 7 	 60 	 147 
24/07/2017	 61 	 18 	 2 	 7 	 60 	 147 
25/07/2017	 61 	 18 	 2 	 7 	 60 	 148 
26/07/2017	 61 	 18 	 2 	 7 	 60 	 148 
27/07/2017	 61 	 18 	 2 	 7 	 60 	 148 
28/07/2017	 61 	 18 	 2 	 7 	 60 	 148 
31/07/2017	 61 	 18 	 2 	 7 	 60 	 148 
1/08/2017	 61 	 18 	 2 	 7 	 60 	 148 
2/08/2017	 61 	 18 	 2 	 7 	 60 	 148 
3/08/2017	 61 	 18 	 2 	 7 	 60 	 148 
4/08/2017	 61 	 18 	 2 	 7 	 60 	 148 
7/08/2017	 61 	 18 	 2 	 7 	 45 	 132 
8/08/2017	 61 	 19 	 2 	 7 	 61 	 150 
9/08/2017	 61 	 19 	 2 	 8 	 61 	 150 
10/08/2017	 61 	 19 	 2 	 8 	 61 	 150 
11/08/2017	 62 	 19 	 2 	 8 	 61 	 150 
14/08/2017	 62 	 19 	 2 	 8 	 61 	 151 
15/08/2017	 62 	 19 	 2 	 8 	 61 	 151 
16/08/2017	 62 	 19 	 2 	 8 	 61 	 151 
17/08/2017	 62 	 19 	 2 	 8 	 61 	 151 
18/08/2017	 63 	 19 	 2 	 8 	 61 	 152 
21/08/2017	 63 	 19 	 2 	 8 	 61 	 152 
22/08/2017	 63 	 19 	 2 	 8 	 61 	 152 
23/08/2017	 63 	 19 	 2 	 8 	 62 	 153 
24/08/2017	 63 	 19 	 2 	 8 	 62 	 154 
25/08/2017	 63 	 19 	 2 	 8 	 62 	 154 
28/08/2017	 63 	 19 	 2 	 8 	 62 	 154 
29/08/2017	 63 	 19 	 2 	 8 	 62 	 155 
30/08/2017	 63 	 19 	 2 	 8 	 62 	 155 
31/08/2017	 64 	 20 	 2 	 8 	 62 	 155 
1/09/2017	 64 	 20 	 2 	 8 	 62 	 156 
4/09/2017	 64 	 19 	 2 	 8 	 62 	 156 
5/09/2017	 64 	 20 	 2 	 8 	 62 	 156 
6/09/2017	 64 	 20 	 2 	 8 	 63 	 157 
7/09/2017	 64 	 20 	 2 	 9 	 63 	 157 
8/09/2017	 64 	 20 	 2 	 9 	 63 	 157 
11/09/2017	 65 	 20 	 2 	 9 	 63 	 158 
12/09/2017	 66 	 20 	 2 	 9 	 63 	 159 
13/09/2017	 66 	 20 	 2 	 9 	 64 	 160 
14/09/2017	 66 	 20 	 2 	 9 	 64 	 161 
15/09/2017	 67 	 20 	 2 	 9 	 65 	 162 
18/09/2017	 67 	 20 	 2 	 9 	 64 	 162 
19/09/2017	 67 	 20 	 2 	 9 	 65 	 162 
