Date	Base future	Cap	Peak	Average rate option	Swaption	Total
20/09/2017	 68 	 20 	 2 	 9 	 66 	 164 
21/09/2017	 68 	 20 	 2 	 9 	 65 	 164 
22/09/2017	 68 	 20 	 2 	 9 	 66 	 165 
25/09/2017	 68 	 20 	 2 	 9 	 66 	 165 
26/09/2017	 68 	 20 	 2 	 9 	 66 	 165 
27/09/2017	 68 	 20 	 2 	 9 	 66 	 166 
28/09/2017	 68 	 20 	 2 	 9 	 67 	 166 
29/09/2017	 68 	 20 	 2 	 9 	 67 	 166 
2/10/2017	 58 	 17 	 1 	 9 	 67 	 152 
3/10/2017	 58 	 17 	 1 	 9 	 67 	 152 
4/10/2017	 58 	 17 	 1 	 8 	 67 	 151 
5/10/2017	 58 	 18 	 1 	 6 	 67 	 151 
6/10/2017	 58 	 18 	 1 	 6 	 67 	 151 
9/10/2017	 58 	 18 	 1 	 6 	 67 	 152 
10/10/2017	 58 	 18 	 1 	 7 	 67 	 152 
11/10/2017	 58 	 19 	 1 	 7 	 67 	 152 
12/10/2017	 59 	 19 	 1 	 7 	 67 	 152 
13/10/2017	 59 	 19 	 1 	 7 	 67 	 153 
16/10/2017	 59 	 19 	 1 	 7 	 67 	 153 
17/10/2017	 59 	 19 	 1 	 7 	 67 	 152 
18/10/2017	 59 	 19 	 1 	 7 	 67 	 153 
19/10/2017	 60 	 19 	 1 	 7 	 67 	 153 
20/10/2017	 60 	 19 	 1 	 7 	 66 	 153 
23/10/2017	 60 	 19 	 1 	 7 	 66 	 154 
24/10/2017	 60 	 19 	 1 	 7 	 66 	 154 
25/10/2017	 60 	 19 	 1 	 7 	 67 	 154 
26/10/2017	 60 	 19 	 1 	 7 	 67 	 155 
27/10/2017	 60 	 19 	 1 	 7 	 67 	 155 
30/10/2017	 60 	 19 	 1 	 7 	 67 	 155 
31/10/2017	 60 	 19 	 1 	 8 	 67 	 156 
1/11/2017	 60 	 19 	 2 	 8 	 67 	 156 
2/11/2017	 60 	 19 	 2 	 8 	 67 	 157 
3/11/2017	 60 	 20 	 2 	 9 	 67 	 158 
6/11/2017	 60 	 20 	 2 	 9 	 67 	 158 
7/11/2017	 60 	 20 	 2 	 9 	 67 	 158 
8/11/2017	 60 	 20 	 2 	 9 	 67 	 158 
9/11/2017	 60 	 20 	 2 	 9 	 67 	 158 
10/11/2017	 61 	 20 	 2 	 10 	 67 	 159 
13/11/2017	 61 	 20 	 2 	 10 	 67 	 159 
14/11/2017	 61 	 20 	 2 	 10 	 67 	 159 
15/11/2017	 61 	 20 	 2 	 10 	 67 	 159 
16/11/2017	 61 	 20 	 2 	 10 	 67 	 159 
17/11/2017	 61 	 20 	 2 	 10 	 66 	 159 
20/11/2017	 63 	 20 	 2 	 10 	 56 	 151 
21/11/2017	 63 	 20 	 2 	 11 	 33 	 128 
22/11/2017	 63 	 20 	 2 	 11 	 33 	 128 
23/11/2017	 63 	 20 	 2 	 11 	 33 	 128 
24/11/2017	 63 	 21 	 2 	 11 	 33 	 129 
27/11/2017	 63 	 21 	 2 	 11 	 33 	 129 
28/11/2017	 63 	 21 	 2 	 11 	 33 	 129 
29/11/2017	 63 	 21 	 2 	 11 	 33 	 129 
30/11/2017	 63 	 21 	 2 	 11 	 33 	 129 
1/12/2017	 63 	 21 	 2 	 11 	 33 	 129 
4/12/2017	 63 	 21 	 2 	 11 	 33 	 129 
5/12/2017	 63 	 21 	 2 	 11 	 33 	 130 
6/12/2017	 63 	 21 	 2 	 11 	 33 	 130 
7/12/2017	 63 	 21 	 2 	 11 	 33 	 130 
8/12/2017	 62 	 21 	 2 	 11 	 33 	 129 
11/12/2017	 62 	 21 	 2 	 11 	 33 	 130 
12/12/2017	 62 	 21 	 2 	 11 	 33 	 131 
13/12/2017	 63 	 21 	 2 	 11 	 33 	 131 
14/12/2017	 63 	 21 	 2 	 12 	 33 	 131 
15/12/2017	 63 	 21 	 2 	 12 	 33 	 131 
18/12/2017	 63 	 21 	 2 	 12 	 33 	 131 
19/12/2017	 63 	 21 	 2 	 12 	 33 	 131 
20/12/2017	 63 	 21 	 2 	 12 	 33 	 132 
21/12/2017	 63 	 22 	 2 	 12 	 34 	 132 
22/12/2017	 63 	 22 	 2 	 12 	 33 	 132 
27/12/2017	 63 	 22 	 2 	 12 	 33 	 132 
28/12/2017	 63 	 22 	 2 	 12 	 33 	 133 
29/12/2017	 63 	 22 	 2 	 12 	 33 	 133 
2/01/2018	 53 	 18 	 2 	 12 	 34 	 118 
3/01/2018	 53 	 19 	 2 	 12 	 34 	 119 
4/01/2018	 53 	 19 	 2 	 11 	 34 	 118 
5/01/2018	 53 	 19 	 2 	 9 	 34 	 117 
8/01/2018	 53 	 19 	 2 	 10 	 34 	 117 
9/01/2018	 53 	 19 	 2 	 10 	 34 	 118 
10/01/2018	 53 	 19 	 2 	 10 	 34 	 118 
11/01/2018	 53 	 19 	 2 	 10 	 34 	 119 
12/01/2018	 53 	 19 	 2 	 10 	 34 	 119 
15/01/2018	 53 	 19 	 2 	 10 	 34 	 119 
16/01/2018	 53 	 20 	 2 	 11 	 34 	 120 
17/01/2018	 53 	 20 	 2 	 11 	 34 	 120 
18/01/2018	 53 	 20 	 2 	 11 	 34 	 121 
19/01/2018	 53 	 21 	 2 	 11 	 34 	 121 
22/01/2018	 53 	 21 	 2 	 11 	 34 	 121 
23/01/2018	 53 	 22 	 2 	 11 	 34 	 122 
24/01/2018	 53 	 22 	 2 	 11 	 34 	 122 
25/01/2018	 54 	 22 	 2 	 11 	 35 	 124 
29/01/2018	 54 	 22 	 2 	 11 	 35 	 124 
30/01/2018	 54 	 23 	 2 	 11 	 35 	 125 
31/01/2018	 54 	 23 	 2 	 12 	 37 	 127 
1/02/2018	 54 	 23 	 2 	 12 	 37 	 128 
2/02/2018	 54 	 23 	 2 	 13 	 38 	 130 
5/02/2018	 54 	 23 	 2 	 13 	 38 	 130 
6/02/2018	 54 	 23 	 2 	 13 	 38 	 130 
7/02/2018	 54 	 24 	 2 	 13 	 38 	 131 
8/02/2018	 54 	 24 	 2 	 13 	 38 	 131 
9/02/2018	 54 	 24 	 2 	 13 	 38 	 132 
12/02/2018	 55 	 24 	 2 	 13 	 38 	 132 
13/02/2018	 55 	 24 	 2 	 13 	 39 	 133 
14/02/2018	 55 	 24 	 2 	 13 	 40 	 134 
15/02/2018	 55 	 24 	 2 	 13 	 40 	 135 
16/02/2018	 55 	 24 	 2 	 14 	 40 	 135 
19/02/2018	 55 	 24 	 2 	 14 	 41 	 136 
20/02/2018	 56 	 24 	 2 	 14 	 41 	 137 
21/02/2018	 56 	 24 	 2 	 14 	 41 	 137 
22/02/2018	 56 	 25 	 2 	 14 	 41 	 137 
23/02/2018	 56 	 25 	 2 	 14 	 41 	 138 
26/02/2018	 56 	 25 	 2 	 14 	 41 	 138 
27/02/2018	 56 	 25 	 2 	 14 	 41 	 138 
28/02/2018	 56 	 25 	 2 	 14 	 42 	 139 
1/03/2018	 56 	 25 	 2 	 14 	 42 	 139 
2/03/2018	 56 	 25 	 2 	 14 	 43 	 140 
5/03/2018	 56 	 25 	 2 	 14 	 43 	 140 
6/03/2018	 56 	 25 	 2 	 15 	 42 	 140 
7/03/2018	 57 	 25 	 2 	 15 	 43 	 142 
8/03/2018	 57 	 25 	 2 	 15 	 43 	 142 
9/03/2018	 57 	 25 	 2 	 15 	 43 	 143 
12/03/2018	 57 	 25 	 2 	 15 	 43 	 143 
13/03/2018	 57 	 25 	 2 	 15 	 43 	 143 
14/03/2018	 58 	 26 	 2 	 15 	 43 	 145 
15/03/2018	 58 	 26 	 2 	 15 	 44 	 145 
16/03/2018	 58 	 26 	 2 	 16 	 44 	 146 
19/03/2018	 58 	 26 	 2 	 16 	 44 	 146 
20/03/2018	 58 	 26 	 2 	 16 	 44 	 146 
21/03/2018	 58 	 26 	 2 	 16 	 45 	 147 
22/03/2018	 58 	 27 	 2 	 16 	 45 	 148 
23/03/2018	 58 	 27 	 2 	 16 	 45 	 148 
26/03/2018	 58 	 27 	 2 	 16 	 45 	 148 
27/03/2018	 58 	 27 	 2 	 16 	 45 	 148 
28/03/2018	 58 	 27 	 2 	 16 	 45 	 148 
29/03/2018	 58 	 27 	 2 	 16 	 45 	 149 
3/04/2018	 48 	 22 	 2 	 16 	 46 	 134 
4/04/2018	 49 	 22 	 2 	 16 	 46 	 135 
5/04/2018	 49 	 22 	 2 	 14 	 46 	 133 
6/04/2018	 49 	 22 	 2 	 11 	 46 	 130 
9/04/2018	 49 	 22 	 2 	 11 	 46 	 130 
10/04/2018	 50 	 22 	 2 	 11 	 46 	 130 
11/04/2018	 50 	 22 	 2 	 11 	 46 	 131 
12/04/2018	 50 	 22 	 2 	 11 	 47 	 132 
13/04/2018	 50 	 22 	 2 	 11 	 48 	 134 
16/04/2018	 50 	 22 	 2 	 11 	 48 	 134 
17/04/2018	 50 	 23 	 2 	 11 	 49 	 135 
18/04/2018	 50 	 23 	 2 	 12 	 49 	 136 
19/04/2018	 51 	 23 	 2 	 12 	 49 	 136 
20/04/2018	 51 	 23 	 2 	 12 	 49 	 137 
23/04/2018	 51 	 23 	 2 	 12 	 49 	 137 
24/04/2018	 51 	 23 	 2 	 12 	 50 	 138 
26/04/2018	 51 	 23 	 2 	 12 	 50 	 138 
27/04/2018	 51 	 23 	 2 	 13 	 50 	 139 
30/04/2018	 52 	 23 	 2 	 13 	 50 	 139 
1/05/2018	 51 	 23 	 2 	 13 	 50 	 140 
2/05/2018	 52 	 23 	 2 	 13 	 50 	 140 
3/05/2018	 52 	 24 	 2 	 13 	 51 	 140 
4/05/2018	 52 	 24 	 2 	 13 	 51 	 140 
7/05/2018	 52 	 24 	 2 	 13 	 51 	 140 
8/05/2018	 52 	 24 	 2 	 13 	 51 	 141 
9/05/2018	 52 	 24 	 2 	 13 	 51 	 141 
10/05/2018	 52 	 24 	 2 	 13 	 51 	 141 
11/05/2018	 53 	 24 	 2 	 13 	 51 	 142 
14/05/2018	 53 	 24 	 2 	 13 	 51 	 142 
15/05/2018	 53 	 25 	 2 	 13 	 51 	 143 
16/05/2018	 53 	 25 	 2 	 13 	 51 	 144 
17/05/2018	 53 	 25 	 2 	 13 	 51 	 144 
18/05/2018	 53 	 25 	 2 	 13 	 52 	 146 
21/05/2018	 55 	 25 	 2 	 13 	 44 	 139 
22/05/2018	 55 	 25 	 2 	 13 	 32 	 127 
23/05/2018	 55 	 25 	 2 	 13 	 32 	 128 
24/05/2018	 55 	 26 	 2 	 13 	 32 	 128 
25/05/2018	 55 	 26 	 2 	 14 	 32 	 129 
28/05/2018	 56 	 26 	 2 	 14 	 32 	 129 
29/05/2018	 56 	 26 	 2 	 14 	 32 	 130 
30/05/2018	 56 	 26 	 2 	 14 	 32 	 130 
31/05/2018	 57 	 26 	 2 	 14 	 32 	 131 
1/06/2018	 53 	 26 	 2 	 15 	 32 	 128 
4/06/2018	 53 	 26 	 2 	 15 	 32 	 129 
5/06/2018	 54 	 26 	 2 	 16 	 32 	 131 
6/06/2018	 54 	 27 	 2 	 17 	 32 	 132 
7/06/2018	 54 	 27 	 2 	 18 	 32 	 133 
8/06/2018	 54 	 27 	 2 	 18 	 32 	 133 
12/06/2018	 55 	 27 	 2 	 19 	 32 	 134 
13/06/2018	 55 	 27 	 2 	 19 	 32 	 135 
14/06/2018	 55 	 27 	 2 	 19 	 32 	 135 
15/06/2018	 56 	 27 	 2 	 19 	 32 	 136 
18/06/2018	 56 	 27 	 2 	 19 	 32 	 136 
19/06/2018	 56 	 27 	 2 	 19 	 34 	 139 
20/06/2018	 57 	 27 	 2 	 19 	 35 	 140 
21/06/2018	 59 	 27 	 2 	 19 	 36 	 143 
22/06/2018	 59 	 27 	 2 	 19 	 36 	 143 
25/06/2018	 59 	 27 	 2 	 19 	 36 	 144 
26/06/2018	 60 	 27 	 2 	 19 	 36 	 145 
27/06/2018	 60 	 28 	 2 	 19 	 36 	 145 
28/06/2018	 60 	 27 	 2 	 19 	 37 	 145 
29/06/2018	 60 	 27 	 2 	 19 	 36 	 145 
2/07/2018	 50 	 24 	 1 	 19 	 36 	 131 
3/07/2018	 50 	 24 	 1 	 19 	 36 	 131 
4/07/2018	 50 	 24 	 1 	 18 	 36 	 129 
5/07/2018	 50 	 24 	 1 	 15 	 36 	 127 
6/07/2018	 50 	 24 	 1 	 15 	 36 	 127 
9/07/2018	 50 	 24 	 1 	 15 	 37 	 127 
10/07/2018	 50 	 24 	 1 	 15 	 37 	 128 
11/07/2018	 50 	 24 	 1 	 15 	 39 	 130 
12/07/2018	 51 	 24 	 1 	 15 	 39 	 130 
13/07/2018	 51 	 24 	 1 	 15 	 40 	 132 
16/07/2018	 51 	 24 	 1 	 15 	 40 	 132 
17/07/2018	 51 	 24 	 2 	 15 	 40 	 132 
18/07/2018	 51 	 24 	 2 	 15 	 41 	 133 
19/07/2018	 52 	 24 	 2 	 16 	 41 	 134 
20/07/2018	 52 	 24 	 2 	 16 	 41 	 135 
23/07/2018	 53 	 24 	 2 	 16 	 41 	 136 
24/07/2018	 53 	 24 	 2 	 16 	 41 	 137 
25/07/2018	 54 	 24 	 2 	 16 	 43 	 139 
26/07/2018	 54 	 24 	 2 	 16 	 43 	 139 
27/07/2018	 54 	 25 	 2 	 16 	 43 	 140 
30/07/2018	 54 	 25 	 2 	 16 	 44 	 141 
31/07/2018	 55 	 25 	 2 	 16 	 45 	 143 
1/08/2018	 56 	 25 	 2 	 16 	 45 	 144 
2/08/2018	 56 	 25 	 2 	 17 	 45 	 145 
3/08/2018	 56 	 25 	 2 	 17 	 45 	 145 
6/08/2018	 57 	 25 	 2 	 17 	 45 	 146 
7/08/2018	 57 	 26 	 2 	 17 	 45 	 147 
8/08/2018	 58 	 26 	 2 	 17 	 46 	 148 
9/08/2018	 58 	 26 	 2 	 17 	 46 	 149 
10/08/2018	 59 	 26 	 2 	 17 	 46 	 149 
13/08/2018	 59 	 26 	 2 	 17 	 46 	 149 
14/08/2018	 59 	 26 	 2 	 17 	 46 	 150 
15/08/2018	 60 	 26 	 2 	 17 	 46 	 151 
16/08/2018	 60 	 26 	 2 	 17 	 46 	 151 
17/08/2018	 60 	 26 	 2 	 17 	 46 	 153 
20/08/2018	 61 	 26 	 2 	 17 	 47 	 154 
21/08/2018	 61 	 27 	 2 	 17 	 47 	 154 
22/08/2018	 61 	 27 	 2 	 18 	 47 	 154 
23/08/2018	 61 	 27 	 2 	 18 	 47 	 155 
24/08/2018	 61 	 27 	 2 	 18 	 47 	 155 
27/08/2018	 61 	 27 	 2 	 18 	 47 	 155 
28/08/2018	 62 	 27 	 2 	 18 	 47 	 156 
29/08/2018	 63 	 27 	 2 	 18 	 47 	 157 
30/08/2018	 63 	 27 	 2 	 18 	 47 	 157 
31/08/2018	 63 	 27 	 2 	 18 	 47 	 157 
3/09/2018	 64 	 27 	 2 	 18 	 47 	 158 
4/09/2018	 64 	 27 	 2 	 18 	 47 	 158 
5/09/2018	 64 	 27 	 2 	 18 	 47 	 158 
6/09/2018	 64 	 27 	 2 	 18 	 47 	 159 
7/09/2018	 64 	 27 	 2 	 18 	 47 	 160 
10/09/2018	 64 	 27 	 2 	 18 	 47 	 159 
11/09/2018	 64 	 27 	 2 	 18 	 48 	 160 
12/09/2018	 64 	 27 	 2 	 19 	 49 	 161 
13/09/2018	 64 	 27 	 2 	 19 	 49 	 161 
14/09/2018	 64 	 27 	 2 	 19 	 49 	 161 
17/09/2018	 64 	 27 	 2 	 19 	 50 	 162 
18/09/2018	 64 	 28 	 2 	 19 	 50 	 163 
19/09/2018	 65 	 27 	 2 	 19 	 50 	 163 
20/09/2018	 65 	 28 	 2 	 19 	 50 	 164 
21/09/2018	 65 	 28 	 2 	 19 	 50 	 164 
24/09/2018	 65 	 28 	 2 	 19 	 50 	 164 
25/09/2018	 65 	 28 	 2 	 19 	 50 	 164 
26/09/2018	 65 	 28 	 2 	 19 	 50 	 164 
27/09/2018	 65 	 28 	 2 	 19 	 50 	 164 
28/09/2018	 65 	 28 	 2 	 20 	 51 	 166 
1/10/2018	 55 	 23 	 2 	 20 	 51 	 152 
2/10/2018	 56 	 23 	 2 	 20 	 52 	 152 
3/10/2018	 56 	 23 	 2 	 18 	 52 	 151 
4/10/2018	 57 	 24 	 2 	 15 	 53 	 150 
5/10/2018	 57 	 24 	 2 	 15 	 53 	 151 
8/10/2018	 57 	 24 	 2 	 15 	 53 	 151 
9/10/2018	 58 	 24 	 2 	 15 	 53 	 152 
10/10/2018	 58 	 24 	 2 	 15 	 53 	 152 
